,0,1,2,3,4,5
0,11.0,8725,187,44803,276,278
1,10.0,2744,188,44803,0,1
2,11.0,10974,189,44803,5,9
3,10.25,15506,191,44803,2,312
4,11.0,19408,192,44803,5,9
5,9.75,19437,194,44803,4,490
6,9.75,10126,195,44803,2,463
7,10.25,17065,197,44803,195,311
8,10.5,22993,198,44803,19,484
9,10.25,7861,200,44803,1,290
10,10.25,6522,201,44803,0,2
11,10.5,5036,202,44803,1,5
12,11.75,6074,204,44803,2,5
13,11.5,21340,205,44803,4,17
14,10.5,13780,206,44803,2,7
15,10.5,-13630,208,44803,0,405
16,10.25,23123,209,44803,4,62
17,10.5,16010,210,44803,4,462
18,10.0,9221,212,44803,6,409
19,11.25,-7126,213,44803,2,17
20,10.0,18503,214,44803,4,291
21,11.0,12192,216,44803,4,6
22,11.5,9539,217,44803,4,8
23,10.75,-4798,218,44803,0,2
24,10.0,17729,220,44803,2,293
25,10.0,11440,221,44803,2,4
26,11.25,21141,223,44803,4,460
27,10.0,15530,224,44803,2,157
28,9.75,5851,225,44803,2,2
29,10.75,14498,227,44803,4,183
30,10.0,7987,40,44815,0,0
31,10.5,9221,40,44815,2,485
32,10.25,33128,40,44815,6,488
33,11.0,3091,41,44815,2,5
34,10.0,16769,41,44815,2,47
35,10.0,-5146,41,44815,0,47
36,11.25,15163,41,44815,5,470
37,10.5,12041,42,44815,2,4
38,10.5,19605,42,44815,2,371
39,10.25,-4866,43,44815,0,0
40,10.25,2293,43,44815,0,0
41,10.25,5455,43,44815,2,2
42,10.25,-6331,44,44815,0,2
43,10.25,13981,44,44815,2,6
44,10.5,3392,44,44815,0,2
45,10.5,19944,44,44815,3,464
46,10.75,9696,44,44815,2,5
47,10.0,-2628,45,44815,0,5
48,10.75,15558,45,44815,4,7
49,10.25,2587,46,44815,1,1
50,10.5,5014,46,44815,0,0
51,10.75,14951,46,44815,3,342
52,10.75,8020,47,44815,2,265
53,10.0,24161,47,44815,4,199
54,10.0,-3532,48,44815,0,199
55,10.5,7907,48,44815,3,346
56,10.75,5081,48,44815,15,17
57,11.25,19670,49,44815,209,473
58,10.25,15946,49,44815,4,280
59,10.25,7873,49,44815,0,1
60,10.25,31251,49,44815,4,337
61,11.25,3339,50,44815,403,407
62,10.25,12490,50,44815,4,328
63,11.25,14572,50,44815,4,469
64,10.75,18237,51,44815,3,7
65,10.5,36918,51,44815,6,465
66,10.0,10488,51,44815,2,15
67,10.5,12987,52,44815,4,5
68,11.25,24289,52,44815,4,490
69,11.0,10770,52,44815,4,6
70,11.0,7592,53,44815,3,16
71,10.5,12786,53,44815,2,4
72,10.0,-22609,53,44815,0,4
73,10.25,14213,53,44815,12,319
74,10.5,-7093,54,44815,0,0
75,10.25,5571,54,44815,2,4
76,10.25,20337,54,44815,2,6
77,11.5,11586,54,44815,467,471
78,10.0,13023,55,44815,2,4
79,10.25,-4751,55,44815,0,4
80,11.5,4294,55,44815,482,484
81,11.0,14115,56,44815,2,6
82,11.5,4001,56,44815,4,7
83,10.0,-5273,56,44815,0,7
84,10.25,10128,56,44815,3,290
85,10.5,-3311,57,44815,0,0
86,10.5,2907,57,44815,0,0
87,10.25,14684,57,44815,2,486
88,10.25,17870,57,44815,2,6
89,10.5,20955,57,44815,3,313
90,10.75,11522,58,44815,2,5
91,10.75,13229,58,44815,2,6
92,10.25,19637,58,44815,2,280
93,11.75,24017,59,44815,4,462
94,10.75,-3690,59,44815,0,2
95,10.25,-5377,59,44815,0,2
96,10.25,-3777,60,44815,0,2
97,10.5,21883,60,44815,4,490
98,10.0,-3597,60,44815,0,490
99,10.25,-8469,61,44815,0,490
100,10.0,9637,62,44815,2,467
101,10.25,16663,62,44815,2,472
102,10.25,25892,62,44815,2,327
103,11.0,12490,62,44815,2,473
104,10.25,6589,63,44815,0,2
105,10.25,4991,63,44815,410,411
106,10.0,-24401,63,44815,0,240
107,11.0,6211,64,44815,2,5
108,10.25,13840,64,44815,4,6
109,10.5,2499,64,44815,0,6
110,10.5,2119,64,44815,2,2
111,10.0,-2729,65,44815,0,2
112,11.5,7031,65,44815,409,414
113,10.75,-18716,65,44815,0,414
114,11.0,16648,65,44815,2,484
115,10.25,16890,65,44815,2,281
116,11.25,23143,66,44815,5,490
117,10.25,3492,66,44815,0,0
118,10.0,-3698,66,44815,0,0
119,10.5,14002,67,44815,3,5
