,0,1,2,3,4,5
0,17.25,12486,187,30553,2,138
1,19.25,-14785,188,30553,1,476
2,15.75,4417,188,30553,309,0
3,17.75,-6918,188,30553,0,1
4,17.5,11696,189,30553,0,486
5,17.5,-4235,189,30553,0,0
6,15.75,-15912,189,30553,139,77
7,18.25,-16353,189,30553,0,0
8,17.5,7227,190,30553,3,3
9,16.25,11932,190,30553,0,3
10,15.75,-4132,190,30553,445,0
11,18.25,10320,190,30553,2,4
12,16.0,-21765,191,30553,114,433
13,16.0,10071,191,30553,285,0
14,16.0,-15141,192,30553,170,280
15,16.0,8943,192,30553,474,0
16,18.0,-15218,124,30565,0,0
17,15.0,10115,124,30565,465,0
18,18.25,17739,124,30565,4,77
19,16.5,3397,124,30565,171,0
20,16.75,19261,125,30565,54,58
21,17.5,-19636,125,30565,0,424
22,17.5,22438,125,30565,104,108
23,16.5,4194,126,30565,106,0
24,17.5,-9784,126,30565,0,0
25,17.75,2886,126,30565,2,269
26,15.75,-5448,127,30565,130,23
27,17.0,-26068,127,30565,291,477
28,15.75,7067,127,30565,0,477
29,17.5,-23507,128,30565,0,196
30,17.75,31972,128,30565,3,433
31,17.5,11180,128,30565,2,303
32,16.75,-6005,128,30565,478,323
33,17.75,12661,129,30565,99,102
34,17.75,-20262,129,30565,0,50
35,15.0,-8762,129,30565,133,1
36,15.0,21640,130,30565,0,1
37,18.0,-18989,130,30565,0,377
38,16.75,-4198,130,30565,0,377
39,18.25,10738,131,30565,2,5
40,15.75,-16181,131,30565,327,399
41,16.25,-9457,131,30565,469,2
42,16.25,4875,132,30565,0,2
43,17.75,22225,132,30565,2,484
44,16.5,9466,132,30565,0,0
45,17.5,26987,133,30565,217,221
46,16.25,16221,133,30565,2,4
47,17.5,-27890,134,30565,0,418
48,17.5,21349,134,30565,4,271
49,16.5,7846,134,30565,272,0
50,18.25,5069,134,30565,402,404
51,17.75,-4158,135,30565,2,2
52,17.75,21856,136,30565,3,406
53,16.75,-14978,136,30565,129,190
54,17.5,5503,136,30565,0,1
55,15.25,-13197,136,30565,386,476
56,15.0,11990,137,30565,0,476
57,17.5,6918,137,30565,2,2
58,17.75,-8897,137,30565,0,0
59,17.75,2715,137,30565,0,0
60,18.0,-5866,138,30565,101,103
61,17.5,4675,138,30565,0,103
62,17.75,9311,138,30565,2,250
63,17.75,5260,139,30565,0,250
64,18.25,14788,139,30565,3,107
65,18.0,2788,139,30565,2,4
66,17.5,-9769,139,30565,0,0
67,16.0,26783,140,30565,2,403
68,15.25,14429,140,30565,0,403
69,16.75,4709,140,30565,0,403
70,17.75,8231,140,30565,2,5
71,17.25,-14003,141,30565,387,488
72,15.5,9143,141,30565,28,0
73,17.25,-10555,142,30565,137,191
74,18.0,19234,142,30565,2,488
75,17.5,10867,142,30565,2,4
76,16.75,3578,142,30565,409,0
77,17.0,-18034,143,30565,411,466
78,16.75,-7843,143,30565,251,233
79,17.75,3091,143,30565,0,0
80,18.0,20494,144,30565,179,183
81,17.5,-21596,144,30565,0,179
