,0,1,2,3,4,5
0,12.0,9448,236,16410,0,0
1,12.0,10793,237,16410,0,0
2,12.25,10313,237,16410,0,0
3,12.0,10661,237,16410,0,0
4,12.0,10285,238,16410,0,0
5,12.0,16069,239,16410,1,1
6,12.0,10084,239,16410,0,1
7,12.25,13856,240,16410,1,1
8,12.0,-36891,241,16410,0,1
9,12.0,10270,242,16410,0,1
10,12.0,13116,242,16410,1,1
11,12.25,8941,243,16410,0,1
12,12.0,9906,244,16410,0,1
13,12.0,-35427,244,16410,0,1
14,12.0,10080,245,16410,0,1
15,12.25,10056,245,16410,0,1
16,12.0,10724,247,16410,0,1
17,12.0,10452,248,16410,0,1
18,12.0,10697,249,16410,0,1
19,12.0,9663,249,16410,0,1
20,12.25,14426,249,16410,1,1
21,12.25,9931,250,16410,0,1
22,12.0,9792,251,16410,0,1
23,12.0,-35416,252,16410,0,1
24,12.0,9710,252,16410,0,1
25,12.25,10284,253,16410,0,0
26,12.25,10293,254,16410,0,0
27,12.25,10205,255,16410,0,0
28,12.0,9988,255,16410,0,0
29,12.0,10366,256,16410,0,0
30,12.0,10790,256,16410,0,0
31,12.25,10608,258,16410,0,0
32,12.0,-16478,258,16410,0,0
33,12.0,9406,259,16410,0,0
34,12.0,-36461,259,16410,0,0
35,12.0,12794,261,16410,0,0
36,12.25,10124,262,16410,0,0
37,12.0,10056,263,16410,0,0
38,12.0,10576,264,16410,0,0
39,12.0,10114,265,16410,0,0
40,12.0,10893,265,16410,0,0
41,12.0,9880,265,16410,0,0
42,12.5,9926,266,16410,1,1
43,12.25,10619,267,16410,0,0
44,12.0,10327,269,16410,0,0
45,12.0,14018,270,16410,0,0
46,12.0,9556,270,16410,0,0
47,12.0,10743,270,16410,0,0
48,12.25,9356,271,16410,0,0
49,12.5,10608,272,16410,0,0
50,12.0,10396,273,16410,0,0
51,12.0,10360,274,16410,0,0
52,12.0,10307,274,16410,0,0
53,12.0,10574,275,16410,0,0
54,12.0,10463,276,16410,0,0
55,12.0,10553,278,16410,0,0
56,12.0,13214,279,16410,0,1
57,12.0,13068,279,16410,0,0
58,12.0,10438,279,16410,0,0
59,12.75,10275,281,16410,0,1
60,12.0,11553,281,16410,0,0
61,12.0,10423,281,16410,0,0
62,12.0,10839,283,16410,0,0
63,12.0,9834,283,16410,0,0
64,12.25,10387,284,16410,0,0
65,12.0,10427,285,16410,0,0
66,12.25,9508,286,16410,0,0
67,12.0,10442,287,16410,0,0
68,12.0,9903,287,16410,0,0
69,12.25,10391,288,16410,0,0
70,12.25,13932,288,16410,0,9
71,12.0,10338,288,16410,0,9
72,12.0,10831,289,16410,0,9
73,12.0,10806,289,16410,0,9
74,12.5,10903,290,16410,0,0
75,12.0,10455,290,16410,0,0
76,12.0,10163,291,16410,0,0
77,12.5,10404,292,16410,0,0
78,12.75,9663,293,16410,0,0
79,12.25,10394,294,16410,0,0
80,12.0,10701,294,16410,0,0
81,12.0,9702,294,16410,0,0
82,12.25,10986,295,16410,0,0
83,12.0,10489,295,16410,0,0
84,12.0,9488,295,16410,0,0
85,12.0,10318,296,16410,0,0
86,12.0,10433,296,16410,0,0
87,12.0,10518,296,16410,0,0
88,12.0,10550,297,16410,0,0
89,12.0,10878,297,16410,0,0
90,12.0,11171,297,16410,0,0
91,12.0,10035,298,16410,0,0
92,12.0,10084,298,16410,0,0
93,12.0,-40427,299,16410,0,0
94,12.25,10042,300,16410,0,0
95,12.0,10466,301,16410,0,0
96,12.0,10956,302,16410,0,0
97,12.0,10412,302,16410,0,0
98,12.0,10983,303,16410,0,0
99,12.0,9967,303,16410,0,0
100,12.0,10859,304,16410,0,0
101,12.5,13368,304,16410,1,18
102,12.0,15070,305,16410,0,30
103,12.0,10693,305,16410,0,30
104,12.5,9433,306,16410,0,30
105,12.0,11121,306,16410,0,0
106,12.25,10718,306,16410,0,0
107,12.25,11049,307,16410,0,0
108,12.0,10448,307,16410,0,0
109,12.0,10796,307,16410,0,0
110,12.0,19461,308,16410,1,32
111,12.0,10856,308,16410,0,32
112,12.25,10079,309,16410,0,32
113,12.0,-35074,309,16410,0,32
114,12.0,10464,309,16410,0,32
115,12.0,10376,310,16410,0,32
116,12.0,10637,310,16410,0,32
117,12.25,11255,310,16410,0,0
118,12.0,10136,311,16410,0,0
119,12.25,13418,311,16410,1,10
120,12.25,14381,312,16410,0,9
121,12.0,10560,313,16410,0,9
122,13.5,10328,313,16410,0,21
123,12.0,10956,314,16410,0,21
124,12.0,10171,314,16410,0,21
125,12.25,10540,314,16410,0,0
126,12.0,-34742,315,16410,0,0
127,12.25,16288,315,16410,0,31
128,12.0,11137,315,16410,0,31
129,12.25,17275,316,16410,1,31
130,12.25,13004,316,16410,8,30
131,12.0,10894,316,16410,0,30
132,12.0,10435,316,16410,0,30
133,12.0,9038,317,16410,0,30
134,12.25,10584,317,16410,0,30
135,12.0,-37604,317,16410,0,30
136,12.0,16323,318,16410,0,31
137,12.0,10559,318,16410,0,31
138,12.0,13538,318,16410,0,2
139,12.25,10163,319,16410,0,2
140,12.0,10400,319,16410,0,2
141,12.25,10161,319,16410,0,2
142,12.25,10073,319,16410,0,2
143,12.0,12414,320,16410,0,0
144,12.25,10896,320,16410,0,0
145,12.0,17365,321,16410,0,32
146,12.25,11112,321,16410,0,0
147,12.0,10786,322,16410,0,0
148,12.0,10496,322,16410,0,0
149,12.0,10220,322,16410,0,0
150,12.5,10226,323,16410,0,0
151,12.0,10305,323,16410,0,0
152,12.25,10636,323,16410,0,0
153,12.0,10621,324,16410,0,0
154,12.0,10935,324,16410,0,0
155,12.0,10566,324,16410,0,0
156,12.5,14353,325,16410,2,21
157,12.0,10653,325,16410,0,21
158,12.0,16793,325,16410,1,32
159,12.25,-40992,325,16410,0,32
160,12.0,11024,326,16410,0,0
161,12.25,10920,327,16410,0,0
