,0,1,2,3,4,5
0,12.0,8168,17,4474,1,5
1,12.0,6633,19,4474,0,0
2,12.5,8264,27,4474,3,5
3,12.25,7440,28,4474,1,6
4,11.75,6844,38,4474,0,0
6,12.0,7298,54,4474,1,2
7,11.25,-8380,61,4474,0,2
8,12.25,7118,63,4474,1,1
9,11.75,7637,67,4474,0,1
10,12.0,3352,71,4474,1,1
11,11.75,6981,77,4474,0,1
12,11.5,8219,79,4474,1,4
13,13.5,4583,81,4474,2,4
14,12.5,6714,86,4474,0,0
15,11.0,-3507,90,4474,0,0
16,11.75,3129,98,4474,0,1
17,11.75,6633,116,4474,2,3
18,12.0,8113,117,4474,2,4
19,11.5,5854,125,4474,0,0
20,12.25,5764,126,4474,3,5
21,12.75,8658,135,4474,2,7
22,11.5,4274,145,4474,0,4
23,11.75,6977,152,4474,1,1
24,11.5,9672,163,4474,5,6
25,12.0,9159,171,4474,1,3
26,11.25,3556,179,4474,0,0
27,13.25,8733,181,4474,3,6
28,10.75,-3868,189,4474,0,6
29,13.25,10305,190,4474,1,6
30,13.75,10890,199,4474,3,6
31,14.0,10833,208,4474,4,8
32,11.0,5459,218,4474,0,8
33,12.25,7840,224,4474,2,5
34,11.25,6189,228,4474,0,5
35,10.75,6232,240,4474,0,5
36,13.5,4427,243,4474,2,3
37,14.25,11298,247,4474,3,6
38,11.5,6918,248,4474,0,0
39,13.25,5580,253,4474,3,5
40,14.25,9539,255,4474,3,5
41,11.25,6874,256,4474,0,5
42,14.0,6623,262,4474,2,5
43,15.0,12150,266,4474,2,5
44,11.0,7729,267,4474,0,5
45,12.25,7536,271,4474,1,3
46,12.0,8189,280,4474,2,4
47,11.5,6275,288,4474,0,4
48,12.75,8273,293,4474,1,2
49,12.5,7834,294,4474,1,2
50,13.25,5358,297,4474,1,4
51,14.0,9191,302,4474,3,5
52,12.25,8455,304,4474,1,1
53,12.0,-6961,307,4474,0,1
54,11.5,10576,309,4474,1,3
55,13.0,7499,319,4474,1,3
56,12.25,10221,328,4474,1,3
57,11.0,6683,359,4474,0,3
58,11.5,8648,5,4475,1,1
59,11.5,6193,9,4475,0,0
60,10.75,6768,11,4475,0,0
61,11.0,6037,12,4475,0,2
62,11.75,6061,17,4475,1,1
63,10.75,7365,19,4475,0,0
64,11.75,10113,23,4475,1,5
65,11.5,7509,26,4475,1,4
66,10.5,7613,30,4475,0,0
67,12.0,10064,40,4475,2,4
68,12.25,8050,50,4475,1,4
69,10.0,5198,54,4475,0,4
70,13.75,9973,58,4475,4,6
71,13.0,6750,63,4475,2,2
72,15.0,13206,68,4475,3,7
73,10.5,6811,71,4475,2,2
74,15.0,10979,78,4475,4,6
75,11.25,6545,79,4475,1,2
76,10.5,-2737,82,4475,0,2
77,15.25,11722,87,4475,3,7
78,14.25,7432,95,4475,3,5
79,15.5,10282,104,4475,4,6
80,10.25,3716,110,4475,0,0
81,11.75,7288,117,4475,2,3
82,10.75,3274,118,4475,0,0
83,11.5,7691,126,4475,2,4
84,13.25,11373,134,4475,3,8
85,11.75,6687,134,4475,1,2
86,10.25,3342,140,4475,0,2
87,13.0,7891,143,4475,2,6
88,12.0,6593,143,4475,1,2
89,10.75,6158,152,4475,0,0
90,10.0,4228,153,4475,0,0
91,10.25,6237,162,4475,0,0
92,10.75,6505,171,4475,0,2
93,10.25,4575,172,4475,0,2
94,12.75,6979,180,4475,1,5
95,11.75,7347,182,4475,1,4
96,13.0,8415,189,4475,4,8
97,12.5,7531,191,4475,4,6
98,12.25,7488,198,4475,3,6
99,11.75,6922,203,4475,2,2
100,10.75,5416,206,4475,0,2
101,11.0,3690,224,4475,0,0
102,11.5,6361,234,4475,1,1
103,10.5,6197,238,4475,0,1
104,11.0,6581,242,4475,2,2
105,10.25,6359,248,4475,0,2
106,11.5,7248,252,4475,3,3
107,12.5,7038,252,4475,3,6
108,12.25,-5664,261,4475,1,3
109,11.75,7917,261,4475,2,7
110,10.0,6557,266,4475,0,7
111,12.75,-11539,269,4475,0,2
112,12.0,8870,281,4475,4,4
113,12.0,11376,287,4475,4,6
114,11.5,3046,288,4475,0,1
115,11.5,5775,296,4475,3,4
116,13.5,9120,298,4475,3,8
118,12.25,9952,306,4475,4,8
119,11.0,7112,314,4475,0,0
120,10.25,4385,315,4475,0,0
121,10.25,7275,324,4475,0,0
122,10.25,3671,324,4475,0,0
123,13.0,9734,325,4475,3,8
124,11.0,8607,333,4475,1,3
125,11.5,9895,343,4475,3,6
126,11.75,9844,353,4475,1,7
127,13.5,9246,0,4476,5,9
128,10.25,5947,11,4476,0,0
129,10.75,5442,14,4476,0,0
130,12.25,8085,30,4476,0,1
131,12.75,5819,49,4476,0,0
132,11.75,-4909,55,4476,0,0
133,12.75,8252,57,4476,1,1
134,11.5,6749,58,4476,0,1
135,12.5,4355,63,4476,1,2
136,14.5,9908,68,4476,2,3
137,13.0,4634,72,4476,2,3
138,13.0,10034,76,4476,0,2
139,11.75,6741,78,4476,0,2
140,12.25,4236,82,4476,0,2
141,12.75,11641,84,4476,1,2
142,12.5,7930,86,4476,0,2
143,12.75,6992,92,4476,0,3
144,11.5,6764,113,4476,0,3
145,12.5,8948,116,4476,1,1
146,12.25,9565,120,4476,0,1
147,11.75,8946,126,4476,0,1
148,12.0,6241,130,4476,0,1
149,12.0,8451,139,4476,0,0
150,11.5,6236,144,4476,0,0
151,12.0,6057,175,4476,0,0
152,11.5,5636,181,4476,0,0
153,12.25,7425,193,4476,1,1
154,12.75,9677,203,4476,1,2
155,12.25,9729,213,4476,0,1
156,11.75,9046,221,4476,0,0
157,13.25,7977,230,4476,1,2
158,15.0,12749,239,4476,3,5
159,15.5,12191,248,4476,2,4
160,15.75,11976,257,4476,2,4
161,11.5,7750,270,4476,0,4
162,12.0,7200,271,4476,0,4
163,11.75,9804,287,4476,0,0
164,11.5,7187,287,4476,0,0
165,13.25,11025,296,4476,1,6
166,11.75,7708,297,4476,0,6
167,13.0,9777,306,4476,3,4
168,11.75,7018,307,4476,0,4
169,13.0,9041,315,4476,2,3
170,11.5,7759,323,4476,0,3
171,12.0,6897,9,4477,0,0
172,14.5,10006,184,4477,0,0
173,14.25,10793,193,4477,0,0
174,12.75,8960,64,4481,0,0
175,13.25,8818,81,4481,0,1
176,12.25,8271,83,4481,0,1
177,12.25,8437,118,4481,0,1
178,12.5,7932,236,4481,0,1
179,13.0,10240,245,4481,1,1
180,13.75,9366,254,4481,0,2
181,12.5,8948,293,4481,0,0
182,12.5,8363,301,4481,0,0
183,12.0,10990,310,4481,0,0
184,12.0,6777,319,4481,0,0
185,10.5,6731,24,4482,1,2
186,11.0,6615,27,4482,3,4
187,9.5,4574,50,4482,0,4
188,10.75,5737,55,4482,2,3
189,10.0,8296,56,4482,1,1
190,10.75,8410,58,4482,2,4
191,10.5,6296,63,4482,1,2
192,10.0,8351,64,4482,0,1
193,11.5,10253,68,4482,3,4
194,10.75,7318,73,4482,2,4
195,9.75,7564,75,4482,0,4
196,11.25,7956,76,4482,5,5
197,10.5,7192,80,4482,0,1
198,12.25,11664,86,4482,3,6
199,10.0,3797,94,4482,0,6
200,11.0,8518,95,4482,2,3
201,10.75,7147,104,4482,1,1
202,13.0,10202,114,4482,4,6
203,10.0,6709,117,4482,1,1
204,13.25,12073,122,4482,2,6
205,13.5,11015,131,4482,3,6
206,10.0,6310,136,4482,1,1
207,13.75,7224,142,4482,2,4
208,14.0,10127,150,4482,2,5
209,9.75,3443,155,4482,0,5
210,11.25,6020,159,4482,1,2
