,0,1,2,3,4,5
0,16.25,-9687,27,25948,269,402
1,15.5,-22117,27,25948,283,471
2,18.75,34070,27,25948,407,490
3,16.0,-18611,28,25948,125,379
4,17.0,-26310,28,25948,69,478
5,18.0,21329,28,25948,2,434
6,15.25,32245,28,25948,101,101
7,18.25,-11099,28,25948,0,203
8,16.5,-10490,29,25948,59,279
9,17.5,12858,29,25948,0,387
10,17.75,11550,29,25948,2,4
11,17.75,-5381,29,25948,476,476
12,16.0,-18878,30,25948,167,494
13,15.5,5833,30,25948,224,418
14,16.25,10653,30,25948,0,418
15,17.75,23986,30,25948,4,244
16,19.5,-3511,31,25948,2,257
17,19.0,8217,31,25948,5,8
18,15.5,4099,31,25948,167,226
19,18.0,22849,31,25948,2,279
20,16.25,-20535,31,25948,54,480
21,17.5,-18857,32,25948,0,311
22,17.0,-12577,32,25948,188,472
23,15.75,-11933,32,25948,270,446
24,16.0,-27075,33,25948,460,448
25,17.5,-18401,33,25948,0,223
26,14.75,-9485,33,25948,284,412
27,15.25,-22156,33,25948,169,475
28,16.75,22670,34,25948,51,338
29,15.5,9703,34,25948,0,338
30,15.5,-2609,34,25948,165,475
31,15.75,-23416,34,25948,139,486
32,19.0,5464,34,25948,3,55
33,18.0,-6575,35,25948,257,147
34,16.0,-12849,35,25948,164,424
35,18.0,-13573,35,25948,0,193
36,17.0,27156,35,25948,239,243
37,17.75,-11221,36,25948,0,424
38,16.75,-21326,36,25948,268,479
39,16.0,-7787,36,25948,205,379
40,18.5,7163,36,25948,2,211
41,17.0,16298,37,25948,1,122
42,15.5,-26512,37,25948,387,481
43,18.25,4459,37,25948,0,3
44,15.25,14441,37,25948,0,3
45,16.5,7840,37,25948,0,2
46,15.25,-6464,38,25948,110,303
47,16.25,4130,38,25948,134,372
48,18.75,4999,38,25948,483,485
49,18.0,35513,38,25948,4,386
50,17.5,-24090,39,25948,464,475
51,17.5,3806,39,25948,126,313
52,16.5,5820,39,25948,448,0
53,17.25,5436,39,25948,89,405
54,17.5,8113,39,25948,1,3
55,16.25,-5880,40,25948,33,0
56,17.5,28273,40,25948,4,8
57,17.5,18172,40,25948,3,339
58,15.25,6758,40,25948,306,0
59,16.5,4648,41,25948,18,194
60,15.75,3459,41,25948,161,0
61,16.0,-9482,41,25948,30,423
62,18.0,-4687,41,25948,384,384
63,17.5,-14110,42,25948,0,313
64,15.25,-3423,42,25948,23,132
65,15.75,-4540,42,25948,155,247
66,17.5,3655,43,25948,0,247
67,19.0,-7115,43,25948,244,460
68,18.5,3547,43,25948,0,419
69,16.5,2562,43,25948,206,480
70,18.25,-13459,44,25948,132,318
71,16.75,13666,44,25948,0,0
72,18.0,-5784,44,25948,168,168
73,15.5,8764,45,25948,135,424
74,14.5,-24188,45,25948,346,463
75,16.25,13412,45,25948,0,0
76,17.75,-12327,45,25948,132,37
77,18.5,30292,45,25948,5,410
78,16.0,-15839,46,25948,172,482
79,16.75,13160,46,25948,0,435
80,18.75,6725,46,25948,4,7
81,16.0,-4371,46,25948,170,0
82,17.0,8557,47,25948,0,0
83,15.75,-11287,47,25948,297,465
84,18.25,-10018,47,25948,0,206
85,15.75,-17861,47,25948,471,412
86,17.5,19249,48,25948,2,492
87,16.0,3882,48,25948,319,0
88,14.75,5762,48,25948,96,0
89,18.0,-12781,48,25948,304,6
90,16.25,-18009,49,25948,298,241
91,15.75,-3471,49,25948,364,0
92,17.75,-11329,49,25948,0,132
93,15.25,32824,49,25948,0,363
94,18.5,20480,49,25948,3,370
95,17.0,-7395,50,25948,113,265
96,18.0,10056,50,25948,2,266
97,17.0,7626,50,25948,0,1
98,19.0,19055,50,25948,407,412
99,15.75,23162,51,25948,1,1
100,17.5,-10021,51,25948,0,444
101,15.25,-21861,51,25948,179,482
102,15.75,-15025,51,25948,145,445
103,17.5,6190,52,25948,123,123
104,16.25,-25981,52,25948,260,484
105,17.75,8626,52,25948,0,1
106,18.25,-11384,52,25948,0,415
107,16.0,6678,53,25948,414,0
108,15.25,-21448,53,25948,141,319
109,16.25,9278,53,25948,0,0
110,18.5,-7852,53,25948,195,197
111,17.75,15072,53,25948,2,4
112,15.75,8533,54,25948,0,0
113,15.25,7325,54,25948,0,0
114,17.75,-15810,54,25948,60,478
115,14.75,-25258,54,25948,356,480
116,17.75,3906,55,25948,0,205
117,17.75,-13796,55,25948,0,137
118,15.5,-16562,55,25948,332,438
119,19.0,3798,55,25948,2,479
