,0,1,2,3,4,5
0,0.25,789,38,39984,0,0
1,0.25,521,95,39984,0,0
2,0.75,577,258,39985,0,0
3,0.25,317,347,39985,0,0
4,0.25,-2818,351,39985,0,0
5,0.25,-546,211,39987,0,0
6,0.25,-1411,262,39987,0,0
7,0.75,-2305,183,39988,0,0
8,0.75,-479,129,39989,0,0
9,0.25,-868,231,39991,0,0
10,0.25,1580,102,39992,0,0
11,0.25,-587,353,39992,0,0
12,0.25,-1601,61,39993,0,0
13,-0.24,2879,220,39993,0,0
14,0.75,357,346,39993,0,0
15,0.25,-1059,41,39995,0,0
16,0.25,1031,357,39995,0,0
17,0.25,701,240,39996,0,0
18,0.25,-2073,339,39996,0,0
19,0.5,-5582,8,39997,0,0
20,-0.24,-1122,157,39997,392,0
21,0.25,-1185,317,39997,0,0
22,0.25,619,50,39998,0,0
23,0.25,1206,101,39998,0,0
24,0.5,1479,327,39998,0,0
25,0.25,1897,249,39999,0,0
26,0.25,-2423,303,39999,0,0
27,0.25,-1203,120,40000,0,0
28,0.5,490,240,40000,0,0
29,0.25,-2978,242,40001,0,0
30,0.5,1479,251,40001,0,0
31,0.25,788,256,40001,0,0
32,0.25,-3074,52,40002,0,0
33,0.25,2661,203,40002,0,0
34,0.5,-583,10,40004,0,0
35,0.5,-650,291,40004,0,0
36,0.25,-1822,308,40004,0,0
37,0.25,-2208,8,40005,0,0
38,0.25,1750,97,40005,0,0
39,0.25,-1201,109,40005,0,0
40,0.25,566,182,40005,0,0
41,1.0,-1412,261,40005,0,0
42,0.25,986,142,40007,0,0
43,0.25,-1796,237,40008,0,0
44,0.25,1861,123,40009,0,0
45,0.25,-3565,166,40009,0,0
46,0.25,388,131,40010,0,0
47,0.25,1124,187,40010,0,0
48,0.25,-764,248,40010,0,0
49,0.25,1918,351,40010,0,0
50,0.25,-360,145,40011,0,0
51,0.25,1640,214,40011,0,0
52,0.5,1775,278,40011,0,0
53,0.25,619,64,40012,0,0
54,0.25,1446,262,40012,0,0
55,0.5,2095,313,40015,0,0
56,0.25,1595,318,40015,0,0
57,0.75,781,343,40015,0,0
58,0.25,-2217,132,40016,0,0
59,0.5,-836,359,40016,0,0
60,0.25,1615,231,40017,0,0
61,0.25,-621,277,40017,0,0
62,0.25,-640,4,40018,0,0
63,0.25,-1936,192,40018,0,0
64,0.25,1713,210,40018,0,0
65,0.75,-1888,334,40018,0,0
66,0.25,787,353,40018,0,5
67,1.75,-911,130,40019,0,0
68,0.5,-466,54,40020,0,0
69,0.25,-1204,48,40021,0,0
70,0.25,694,78,40021,0,0
