,0,1,2,3,4,5
0,2.75,1540,153,55938,2,6
1,7.75,4049,332,55938,2,25
2,0.5,-477,100,55939,0,0
3,0.75,3637,111,55939,0,0
4,5.0,4909,153,55939,2,22
5,-0.49,-1360,52,55940,320,0
6,-0.49,701,84,55940,417,0
7,-0.49,2705,105,55940,0,0
8,4.75,2307,153,55940,2,29
9,2.0,1501,153,55941,3,3
10,0.25,-2028,162,55941,0,3
11,2.75,3323,333,55941,2,19
12,0.5,811,336,55941,0,0
13,2.5,1925,153,55942,4,4
14,7.25,2974,333,55942,5,19
15,5.75,2749,154,55943,2,27
16,-0.49,-1199,261,55943,313,0
17,0.75,352,321,55943,0,0
18,4.75,2460,334,55943,5,22
19,5.0,2389,154,55944,2,29
20,6.75,2594,334,55944,14,29
21,5.25,2225,154,55945,2,16
22,4.5,5492,334,55945,2,22
23,6.25,2691,154,55946,2,25
24,4.5,2252,156,55946,0,22
25,0.25,419,193,55946,0,0
26,0.25,-1509,313,55946,0,0
27,7.0,2953,334,55946,5,19
28,6.25,2572,154,55947,5,19
29,0.25,1188,155,55947,0,0
30,7.75,2447,333,55947,5,19
31,6.5,4499,153,55948,3,24
32,3.5,3430,333,55948,5,14
33,4.5,2021,153,55949,4,13
34,3.5,1746,333,55949,2,4
35,5.0,2031,153,55950,5,14
36,-0.49,-1965,285,55950,382,0
37,3.0,2260,333,55950,3,11
38,4.5,1739,335,55950,0,22
39,0.0,1847,76,55951,85,0
40,5.25,4098,153,55951,5,23
41,4.5,3218,333,55951,5,7
42,3.5,2186,333,55952,2,6
43,0.75,358,46,55953,0,0
44,4.5,2329,153,55953,2,27
45,4.75,2389,333,55953,5,19
46,0.25,497,79,55954,0,0
47,3.0,3290,153,55954,2,4
48,0.25,2216,301,55954,0,0
49,6.5,4748,333,55954,14,24
50,4.0,1734,153,55955,4,14
51,5.25,5732,334,55955,5,23
52,0.75,1654,62,55956,0,0
53,2.75,2420,154,55956,0,24
54,0.25,1803,156,55956,0,0
55,-0.49,-720,185,55956,253,0
56,-0.24,2533,297,55956,0,0
57,4.75,1895,334,55956,2,19
58,0.75,351,359,55956,0,0
59,2.75,2333,154,55957,0,0
60,6.5,4792,334,55957,3,25
61,5.0,3334,154,55958,4,27
62,0.25,530,198,55958,0,0
63,3.25,2222,334,55958,5,28
64,0.5,663,26,55959,0,0
65,4.5,2372,154,55959,4,36
66,0.5,766,226,55959,0,0
67,5.25,2698,154,55960,3,17
68,3.5,1692,334,55960,2,14
69,4.25,2575,154,55961,2,19
70,3.0,1578,334,55961,0,11
71,4.25,1674,154,55962,0,27
72,-0.49,664,251,55962,0,0
73,6.75,3591,334,55962,14,29
74,-0.24,2119,81,55963,0,0
75,0.5,4305,128,55963,0,0
76,5.0,3588,154,55963,5,14
77,0.75,1011,156,55963,0,0
78,0.25,-636,327,55963,0,0
79,2.0,2416,333,55963,2,2
80,2.25,2143,153,55964,0,11
81,1.0,-1342,281,55964,0,0
82,4.75,3492,333,55964,2,27
83,1.0,773,335,55964,1,1
84,1.75,1785,153,55965,2,5
85,6.0,2427,333,55965,4,25
86,-0.49,-2404,146,55966,470,0
87,4.5,2107,153,55966,4,22
88,-0.49,1121,318,55966,191,0
89,4.0,2810,333,55966,5,37
90,0.5,1981,336,55966,0,2
91,4.25,2809,153,55967,4,19
92,4.75,1874,334,55967,4,20
93,3.25,2266,154,55968,0,5
94,-0.24,-1281,263,55968,469,0
95,0.5,-1928,276,55968,0,0
96,6.25,2056,334,55968,4,18
97,4.75,4035,154,55969,4,27
98,3.75,3318,334,55969,2,4
99,4.0,3371,154,55970,13,32
100,0.5,594,329,55970,0,0
101,6.5,2656,333,55970,14,29
