peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,height,width,average,type
-52.07820107518271,-44.608374264661435,-51.19138863354943,251.13599773622246,-51.81490075411959,-51.44313300870939,61832.0,61832.0,14714.998251748251,pos
-18.27317097725453,-13.619141088607687,-17.82719012849281,86.04257518055446,-18.073184845059338,-18.249888141140126,43840.14426573426,43841.169184149185,7361.966130536131,pos
-41.65457095847168,-38.185132523897174,-40.60338219568889,203.62419433600232,-41.60195406459838,-41.57915459334619,42022.0,42023.0,7366.032051282051,pos
-61.27816627834353,-58.46063289343431,-59.77871217230289,299.87875456631997,-60.33640553300876,-60.02483768923061,71523.0,44949.0,8642.07740870241,pos
-67.3802445392713,-58.10023747098194,-65.60469920420047,325.3072489182682,-67.22084285319083,-67.00122485062353,39214.10023310023,39216.0,6817.491161616162,pos
-97.54640383341409,155.38641230130918,-94.21712573469091,231.2817365914553,-97.63217804544219,-97.27244127921756,16410.0,16410.0,4575.345765345765,pos
-27.95109071183011,-26.620781733075848,-27.217758472798003,137.61030541940502,-27.92348112588257,-27.897193375818382,39980.0,39980.0,6415.4692113442115,pos
-48.378259915395816,-80.09188443521103,-46.96490370769884,272.2260345892419,-48.4002578729611,-48.390728657975316,60814.0,55225.0,7193.389763014763,pos
-80.359600615836,74.0762025925097,-78.73762873662105,245.2343618363759,-80.08482793539514,-80.12850714103328,30860.0,41091.0,6825.35236985237,pos
-88.22438558327515,172.45634648502298,-86.3938162271152,178.30117389592723,-88.24325290330103,-87.89606566725912,26959.0,28845.0,637.961926961927,pos
-84.66811322110752,172.30044836275897,-83.20185983956253,164.67468517137488,-84.66934195349081,-84.43581851997322,46004.0,51370.0,6113.092754467754,pos
-52.51689070347885,-122.73051828615101,-50.975560654993,331.1911664939904,-52.57903019546707,-52.3891666539004,39601.0,45925.0,5331.538461538462,pos
-66.34484942349954,-47.02292238836584,-64.69612812868507,310.1006447517756,-66.12069972968592,-65.91604508153908,41987.0,43055.0,5790.061091686092,pos
-65.00808604807045,-5.7758200874127565,-62.893675825611744,263.720023429988,-65.07461440755371,-64.96782706133935,26301.0,26303.0,5479.936383061383,pos
-35.36422746597139,-97.01866467376372,-34.59829274794444,237.7446253878756,-35.39703476348086,-35.36640573671513,77624.0,80726.0,5623.230089355089,pos
-18.20519141955856,-233.5764078052135,-16.36948108707374,304.7094243612233,-18.28061367167402,-18.277730377703264,48890.0,47709.0,1332.3040986790984,pos
-27.360410929614684,-191.37080880435303,-26.032987403760607,299.28394190950974,-27.438222255622634,-27.08151251615858,61058.0,60487.0,2878.666181041181,pos
-104.25103307314336,209.30143869651187,-101.85320074707333,205.25614043216657,-104.43612225032498,-104.01722305813657,32118.0,31897.0,8084.642676767678,pos
-27.810946992462128,-25.585100036448914,-26.581036655073703,135.3831050576915,-27.63499147803718,-27.771029895669574,25153.0,24215.0,4289.922136752137,pos
-78.58252447280141,113.93682636076292,-77.08576478732313,198.54821215439364,-78.47444947375861,-78.34229978127341,29088.0,44876.0,1992.636752136752,pos
-83.83984904929224,197.48254839943925,-82.45342846510529,136.49419745345315,-83.94250412026722,-83.74096421822752,46667.0,23867.280303030304,1542.5732323232323,pos
-76.74387392462656,63.98033988125213,-75.10848087126305,240.42897088129993,-76.459898530057,-76.09705743660535,29942.0,37213.0,4155.570415695415,pos
-4.07547774860817,-248.31592961290013,-2.029205596998165,262.7178658107919,-4.1561911264036056,-4.141061725881888,46700.0,46537.0,-516.154623154623,pos
-62.63235525320157,-68.8418832048856,-60.51116962092373,317.1345782622938,-62.63085585545883,-62.518314327823916,36048.0,31433.0,4871.379176379177,pos
-33.65730459359257,-31.698938144602355,-30.388500004776294,162.82840559081524,-33.58914074199456,-33.49452210584944,11183.0,10577.209417249418,1247.6239782439782,pos
-17.014189635006883,292.100475942521,-18.89974067263822,-222.360712774361,-16.87749133039395,-16.948341530120683,41669.0,44327.0,-1136.5424436674439,pos
-30.79694981294684,-24.08837454557381,-26.56482621131429,142.68292696062284,-30.589387054130658,-30.64338933665733,6996.0,6996.0,1035.5547241647241,pos
-65.88834848140625,-42.498930900133786,-63.79984032980637,304.0288834695463,-65.92757500673486,-65.91418875146495,30647.0,30651.0,4456.564685314685,pos
-53.44657954100716,-33.115642453387764,-52.56173101529194,246.07574151881656,-53.48502680288938,-53.466761706240476,71330.0,60564.0,10527.99728049728,pos
-47.30161137005615,-70.58754704894234,-45.88961515758339,258.35704351115294,-47.326470373746275,-47.25179956082469,37730.0,51766.0,4204.271270396271,pos
-43.34057708178803,-56.667252522160304,-40.83592259943447,227.17557594906626,-43.175158266868095,-43.15666547881548,23527.0,22531.0,2951.5639627039623,pos
-56.42151596368123,-43.47005704782262,-52.13165550979394,262.40159501274906,-55.703973241178865,-54.674393250272594,14423.0,12836.0,2383.575466200466,pos
-53.40559561559983,-45.46880815964259,-51.378839902538935,256.6246156809302,-53.27148121148427,-53.099890791664606,31217.0,32126.0,4706.245823620823,pos
-56.94032459849467,-15.490675311290559,-53.6080017222834,240.00056602886477,-57.02637516772449,-56.93518922907167,13350.0,28205.0,2540.7304778554776,pos
-25.43690213294597,-192.7078588257828,-23.819501471330074,292.63118654322915,-25.5247814901219,-25.1421426230486,50675.0,48961.0,2813.9195804195806,pos
-32.27215306584451,-29.095818175597294,-29.02976199791368,154.65868861529788,-32.06654949570799,-32.19440588023443,10659.0,10623.0,2107.6627195027195,pos
-48.747616376501995,-111.45525506650159,-47.27928008947633,304.85658706732835,-48.80859745511038,-48.56583807973832,53598.0,38516.0,7307.786810411811,pos
-18.6885754831473,17.16365313611362,-18.157569627483532,57.03153339716257,-18.738895840495466,-18.61014558214986,10927.0,10928.0,3052.3643162393164,pos
-32.39521846863164,-31.134725840407665,-31.46572716935816,159.70635380913237,-32.34213309288057,-32.36854923785438,37040.0,37041.0,5838.109028749029,pos
-66.44351390972881,-44.63871324802513,-64.74068344151355,307.7609397424707,-66.18272539347436,-65.75530374972894,39583.0,41637.0,7012.498834498834,pos
-49.72005580825203,-33.15662075904546,-46.98589693413308,229.25136484699107,-49.7292267099997,-49.65956463556076,16315.0,18034.0,2317.8913170163173,pos
-41.76439510085157,-40.32096476804382,-40.83393925908904,206.33483875838272,-41.71447230860934,-41.701067321788884,50110.0,50193.0,8081.800477855478,pos
-55.99743460505209,-50.22312751854877,-52.22426531956323,268.4930603997989,-55.396701904550724,-54.651531052084124,15241.0,16710.0,2914.1420940170938,pos
-71.64331736371895,-22.674442846185347,-69.01661718759641,306.25924990710166,-71.61933791200381,-71.30553459759717,25717.0,25717.0,5112.620143745144,pos
-49.37285110992017,-62.828244076150796,-48.25136249292929,259.0960267388165,-49.42710166224419,-49.21646739757219,37002.0,37002.0,6697.552641802642,pos
-59.17243377027254,-38.91938267759893,-56.138248619201434,271.4479099601663,-58.88259653385937,-58.335248359233915,18934.0,18929.42016317016,2342.0653651903654,pos
-58.62955276745013,-52.414498381243014,-57.41968305398304,285.47073236537295,-58.61064758194855,-58.39635058074795,58163.0,59084.0,4946.68851981352,pos
-66.55688091037118,34.48255126505739,-63.54818868757477,229.06867617743148,-66.76221047524824,-66.68394736929454,14342.0,14346.0,4380.9692113442115,pos
-34.486792305003675,-32.4836917026377,-33.92793171706042,169.80642771104246,-34.445384172149886,-34.46262781419073,64758.0,64761.0,10926.951825951825,pos
-34.90947425323168,-184.9182382051698,-32.841632517830796,322.5410626196587,-34.99572585357588,-34.8759917898507,47588.0,43769.0,2576.4498834498836,pos
-73.19286619935083,-36.259762835338144,-71.35974687406417,326.44357000030163,-73.07157123560299,-72.55962285594552,48674.0,39239.0,5734.362373737374,pos
-33.88583282439449,-14.452014509555957,-25.633797181902526,140.7624318652493,-33.15765814963472,-33.63312919976168,3523.0,4389.923006993007,450.77363247863246,pos
-48.55680734519702,-45.264769818746615,-46.32813498607986,236.14868444039726,-48.24235407831397,-47.75661821205967,25600.0,25092.0,4302.192707847708,pos
-41.472481097792,-40.27705898650652,-38.91937941690354,203.23807109786677,-41.35138458449215,-41.21776701217248,18719.0,18785.0,2193.2869075369076,pos
-77.81598520790473,20.968645722882915,-75.4383322573168,288.1016487317034,-77.92934551837529,-77.8866314709894,32366.0,26299.0,5746.608974358974,pos
-5.774620621828165,-233.8536676842199,-4.865600247732899,255.78172637754162,-5.847134903436363,-5.440702920324326,84605.0,85485.0,1344.501845376845,pos
-36.70074860585136,-22.791327834258066,-33.46691164772092,165.81686655803247,-36.28577463546085,-36.5721038347413,10850.0,10850.0,2151.3848445998447,pos
-42.19750319931808,-39.540461433145296,-41.13164473183888,207.17856292344948,-42.15938030807204,-42.149573251075154,38210.0,38210.0,6208.17026029526,pos
-61.39900585774602,-30.286032034465425,-59.59257196144664,274.0740861314667,-61.43603006748771,-61.36044621032083,30750.0,30751.0,5562.389568764568,pos
-47.93795622075835,-44.7427573943258,-47.116010965347236,235.47239805026862,-47.88601468113301,-47.789658788704195,59875.0,59875.0,9836.476495726496,pos
-80.20940236435315,152.13820823636354,-78.89219664218132,167.17019011283998,-80.19345702145374,-80.01334232121548,46452.0,42028.0,5225.145493395493,pos
-82.78903417135287,88.16063256196051,-81.25072623656902,240.91437863287678,-82.57006419715644,-82.46518658975893,31699.0,31692.282634032636,4569.975427350427,pos
-64.44104492284646,30.85472360459949,-60.866197827979136,222.7465360657751,-64.36120983927832,-63.93280708027064,15059.0,15059.0,3425.9814491064494,pos
-57.9257982430567,-40.606313461861376,-53.656575487137026,265.8897454290707,-57.2919772437949,-56.40908099322059,13299.0,18500.0,1853.4888306138307,pos
-67.53366899230043,-50.638850048598584,-65.87300788915809,318.34700615872515,-67.28433946000114,-67.01713976866688,43151.0,42183.0,5716.147338772338,pos
-27.595766053263024,-23.257973185804726,-26.961554994523873,132.90557514613528,-27.519750046508893,-27.570530866034776,43641.0,43643.0,7760.975038850039,pos
-20.880455642558015,-18.76628427150007,-19.917146910737713,101.26941091074299,-20.842618521411488,-20.86290556453569,24273.0,22304.0,3637.6775369075367,pos
-57.93100558532052,-86.05925791813914,-55.464407879043506,315.41577479421727,-57.99116713094852,-57.96993628076555,29674.0,26807.0,3781.5630341880337,pos
-27.083624105575346,-24.262767789250976,-26.403100115884573,131.90706062111775,-27.083049978923913,-27.074518631482906,44509.0,43612.0,7635.13752913753,pos
-50.844090540069864,-36.03324437617788,-49.92650770643005,238.63701147601364,-50.92651167521155,-50.90665717812435,45650.71445221445,45669.0,6738.697940947942,pos
-38.76420084003345,-156.4560226576296,-37.20698082430213,309.8623867225871,-38.82716802446587,-38.608014376156156,55109.0,52801.0,4190.094308469309,pos
-42.946094218488,-22.145152232969227,-26.896892975979448,174.95703613929342,-41.67521629104081,-41.29368042081594,3568.0,2122.0,619.2694250194251,pos
-40.14668389708409,-155.95269167245317,-38.4277187302581,314.82429448478075,-40.21326445334287,-40.083935731642285,44187.0,45470.0,4055.9551282051284,pos
-35.408962359166175,-156.99509762486153,-34.472326345309476,297.1309210699293,-35.44459289123969,-34.80994184935229,97860.0,102088.0,6605.231060606061,pos
-57.08561185079042,-32.63879308399648,-54.22030821533701,257.4454974247751,-56.889421595094035,-56.61136267955711,20922.0,20277.0,2729.5281662781663,pos
-81.78489445809699,155.94595153788907,-79.68097477141467,168.4750893659094,-81.61344073483731,-81.34173093944972,18525.0,21939.0,8673.519813519813,pos
-68.11506308531462,-36.958360342487836,-66.83370740380722,307.4075776275041,-68.0831489325633,-67.41729786333076,49923.0,49924.0,11422.494755244756,pos
-62.17643425151992,-34.28472965432089,-59.43208112616524,279.34614020523617,-61.994034521685336,-61.45886065154487,21870.267482517484,25855.0,2818.411616161616,pos
-55.26489273596728,-44.655459499792656,-53.73299221770696,262.744392657081,-54.833513819459114,-54.25753438415507,34580.93997668997,35094.0,5864.832653457653,pos
-52.75111835374562,-41.608183724459394,-49.830759917611616,248.65880873564564,-52.39080142209056,-52.077945317738475,18204.0,25963.0,3692.163364413364,pos
-27.49460996444101,-187.956072165533,-25.874249816993558,296.21578168449406,-27.578950837439397,-27.311898900087368,53061.0,50077.0,2946.732128982129,pos
-33.26920114064577,-25.272699870811184,-31.52433802698177,156.27526834809632,-33.14420504696309,-33.064824262694465,19783.096736596737,19789.0,4653.61587024087,pos
-74.33577824427076,208.71541054078006,-58.10028635074155,73.16564042040255,-74.88029404258236,-74.56469232358793,2040.0,3181.0,-197.91831779331778,pos
-19.44305125577316,-16.070405943786295,-18.98648139392435,93.2005374926767,-19.27256622483318,-19.428032674359702,45707.0,45704.0,7708.012723387724,pos
-41.250601618024824,-50.57484812152828,-37.56511269856791,211.6863946438136,-41.15700997431831,-41.1388222313743,14842.0,15042.0,1557.3956876456878,pos
