peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,type
-41.47248109779191,-40.27705898650651,-38.919379416903496,203.2380710978665,-41.35138458449208,-41.217767012172445,pos
-77.81598520790463,20.968645722882865,-75.43833225731656,288.1016487317029,-77.92934551837519,-77.88663147098924,pos
-5.774620621828167,-233.85366768422008,-4.865600247732895,255.78172637754156,-5.84713490343636,-5.440702920324326,pos
-36.70074860585144,-22.79132783425805,-33.46691164772097,165.8168665580328,-36.28577463546089,-36.57210383474137,pos
-42.19750319931795,-39.54046143314522,-41.13164473183877,207.17856292344885,-42.159380308071924,-42.149573251075054,pos
-61.399005857746005,-30.286032034465396,-59.59257196144666,274.07408613146646,-61.43603006748773,-61.36044621032083,pos
-47.93795622075833,-44.7427573943258,-47.116010965347265,235.47239805026868,-47.886014681133005,-47.78965878870427,pos
-80.20940236435277,152.138208236363,-78.89219664218098,167.17019011283958,-80.19345702145337,-80.01334232121513,pos
-82.78903417135263,88.16063256196026,-81.25072623656877,240.91437863287598,-82.57006419715613,-82.4651865897587,pos
-64.44104492284683,30.854723604599645,-60.86619782797944,222.74653606577616,-64.36120983927859,-63.932807080271026,pos
-57.92579824305666,-40.60631346186123,-53.65657548713691,265.88974542907005,-57.29197724379481,-56.40908099322048,pos
-67.53366899230015,-50.63885004859846,-65.87300788915793,318.34700615872424,-67.28433946000096,-67.01713976866664,pos
-27.595766053262974,-23.257973185804648,-26.961554994523812,132.905575146135,-27.519750046508832,-27.57053086603472,pos
-20.880455642558008,-18.766284271500073,-19.9171469107377,101.26941091074293,-20.842618521411488,-20.862905564535676,pos
-57.93100558532049,-86.0592579181391,-55.46440787904351,315.41577479421727,-57.9911671309485,-57.96993628076554,pos
-27.083624105575343,-24.262767789250976,-26.403100115884573,131.90706062111772,-27.08304997892392,-27.074518631482928,pos
-50.844090540069665,-36.033244376177706,-49.92650770642983,238.63701147601282,-50.926511675211366,-50.90665717812415,pos
-38.764200840033396,-156.45602265762915,-37.206980824302086,309.8623867225869,-38.82716802446581,-38.60801437615616,pos
-42.946094218487964,-22.14515223296926,-26.896892975979416,174.95703613929328,-41.67521629104077,-41.293680420815946,pos
-40.14668389708397,-155.95269167245286,-38.42771873025807,314.82429448478007,-40.21326445334284,-40.08393573164217,pos
-35.408962359165955,-156.99509762486056,-34.472326345309284,297.13092106992764,-35.44459289123947,-34.80994184935209,pos
-57.08561185079055,-32.63879308399651,-54.22030821533716,257.4454974247755,-56.8894215950942,-56.61136267955728,pos
-81.78489445809682,155.94595153788893,-79.68097477141448,168.47508936590904,-81.61344073483718,-81.34173093944955,pos
-68.11506308531457,-36.95836034248774,-66.83370740380727,307.40757762750377,-68.08314893256323,-67.41729786333072,pos
-62.176434251519844,-34.284729654320905,-59.43208112616521,279.3461402052361,-61.99403452168528,-61.458860651544896,pos
-55.26489273596727,-44.655459499792634,-53.732992217706986,262.7443926570811,-54.833513819459185,-54.25753438415513,pos
-52.75111835374553,-41.60818372445928,-49.83075991761158,248.6588087356452,-52.390801422090505,-52.07794531773838,pos
-27.49460996444111,-187.956072165534,-25.874249816993643,296.21578168449554,-27.5789508374395,-27.31189890008747,pos
-33.26920114064572,-25.27269987081116,-31.524338026981752,156.27526834809618,-33.14420504696308,-33.06482426269444,pos
-74.33577824427094,208.71541054078054,-58.100286350741655,73.1656404204028,-74.88029404258258,-74.56469232358813,pos
-19.443051255773184,-16.07040594378631,-18.986481393924368,93.20053749267679,-19.272566224833206,-19.428032674359724,pos
-41.250601618024795,-50.574848121528305,-37.565112698567916,211.68639464381357,-41.157009974318285,-41.13882223137429,pos
-54.71188657301653,-43.05649446331456,-53.1448984141101,259.19454276090767,-54.38938486013545,-53.89187845033095,pos
-37.77299555142535,-33.85592636330614,-36.254323592122596,183.22838113136254,-37.70439071753188,-37.64074490697664,pos
-51.41074771505953,-61.84296988338496,-48.04615224565303,263.86971050194194,-51.40766066226119,-51.16217999558319,pos
-41.324983196424256,-38.42710828978155,-40.62986497952757,202.93108272674456,-41.28064810557344,-41.2684781554377,pos
-53.319533336772736,-70.63136034968178,-50.79167004617582,281.247170222385,-53.292958320257945,-53.211648169496634,pos
-63.492802822498646,-43.194366692640465,-61.35420874444964,295.1161672203731,-63.53913196463633,-63.535656996147836,pos
-51.45481853503018,-41.64471356214942,-50.33509720829466,246.4023611023816,-51.49245320696649,-51.475278589940714,pos
-21.824676588325413,29.028253774743597,-21.188440224884182,57.3869721254809,-21.802348039955362,-21.599761047059545,pos
