peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,new_feature,new_feature2,type
-17.014189635006893,292.1004759425212,-18.89974067263824,-222.3607127743611,-16.877491330393962,-16.948341530120707,1.1415926611733236,9862.36269422977,1
-30.796949812946902,-24.088374545573885,-26.564826211314347,142.6829269606232,-30.58938705413074,-30.643389336657396,1.141600908118959,-64.65699762476544,1
-65.88834848140596,-42.49893090013364,-63.79984032980601,304.02888346954467,-65.92757500673447,-65.91418875146464,-0.857982830105823,-154.6541469821967,1
-53.446579541007374,-33.11564245338789,-52.56173101529214,246.07574151881755,-53.48502680288959,-53.46676170624064,1.1321356823591437,-126.27400128534747,1
-47.3016113700561,-70.58754704894224,-45.88961515758333,258.3570435111525,-47.32647037374622,-47.251799560824566,1.1415733670734962,-129.16176603634472,1
-43.34057708178802,-56.6672525221602,-40.83592259943445,227.1755759490663,-43.17515826686811,-43.15666547881549,1.1416214619949483,-126.16223446265491,1
-56.42151596368134,-43.47005704782266,-52.13165550979402,262.4015950127497,-55.70397324117894,-54.6743932502727,-0.7306774183767524,-128.15770255157088,1
-53.40559561559989,-45.46880815964269,-51.37883990253904,256.6246156809307,-53.27148121148432,-53.09989079166471,1.1414164658383448,-127.44640423528311,1
-56.9403245984948,-15.490675311290712,-53.6080017222836,240.0005660288653,-57.026375167724616,-56.93518922907181,-0.854881916250992,-126.0564858334078,1
-25.436902132945885,-192.70785882578224,-23.81950147133,292.63118654322824,-25.52478149012182,-25.142142623048517,1.141547330568908,-196.1478556048549,1
-32.27215306584451,-29.095818175597238,-29.02976199791365,154.6586886152977,-32.066549495707946,-32.19440588023439,1.1416122164202362,-87.75441862004443,1
-48.74761637650204,-111.45525506650168,-47.2792800894764,304.8565870673289,-48.80859745511048,-48.565838079738384,1.1415210009822816,-177.3289810770843,1
-18.688575483147297,17.163653136113624,-18.157569627483543,57.03153339716255,-18.73889584049546,-18.61014558214986,1.1415828068677552,333.9049707290392,1
-32.3952184686316,-31.134725840407636,-31.465727169358136,159.70635380913222,-32.34213309288055,-32.36854923785434,1.1416124575336792,-97.3479507476811,1
-66.44351390972867,-44.63871324802508,-64.74068344151347,307.7609397424704,-66.18272539347423,-65.75530374972882,-0.8583680451068145,-160.61090287774314,1
-49.720055808252,-33.15662075904538,-46.98589693413301,229.2513648469907,-49.72922670999963,-49.6595646355607,1.1414574122534418,-126.05464081419736,1
-41.76439510085162,-40.32096476804384,-40.83393925908911,206.3348387583828,-41.7144723086094,-41.70106732178893,1.1416231399017909,-124.93753010138607,1
-55.99743460505201,-50.22312751854869,-52.22426531956313,268.4930603997985,-55.39670190455067,-54.651531052084046,-0.7421685068109499,-130.1814811038692,1
-71.6433173637189,-22.67444284618534,-69.01661718759642,306.25924990710155,-71.61933791200379,-71.30553459759714,-0.8582826593092238,-152.8062356096899,1
-49.37285110992036,-62.828244076151165,-48.251362492929424,259.0960267388177,-49.42710166224444,-49.21646739757238,1.1415049211611648,-128.87932973577492,1
-59.17243377027256,-38.91938267759894,-56.138248619201455,271.4479099601663,-58.88259653385936,-58.33524835923391,-0.8579018202801988,-130.50473353113705,1
-58.629552767450086,-52.41449838124293,-57.419683053983015,285.4707323653723,-58.61064758194852,-58.39635058074793,-0.8579050044652164,-139.79000517515172,1
-66.55688091037113,34.48255126505734,-63.54818868757465,229.0686761774312,-66.76221047524822,-66.68394736929449,-0.8579260680304457,-125.30346118297324,1
-34.4867923050038,-32.483691702637735,-33.92793171706045,169.80642771104286,-34.44538417214996,-34.46262781419082,1.1416153828978368,-108.19078859999634,1
-34.90947425323182,-184.91823820517064,-32.84163251783099,322.54106261966035,-34.99572585357603,-34.875991789850865,1.141600675141792,-262.00716686942815,1
-73.19286619935122,-36.2597628353382,-71.35974687406438,326.4435700003028,-73.07157123560323,-72.55962285594576,-0.8583511743627632,-188.7467522390729,1
-33.88583282439452,-14.452014509555934,-25.63379718190255,140.76243186524945,-33.15765814963472,-33.633129199761704,1.1415459572016087,-50.203395025289474,1
-48.55680734519726,-45.264769818746814,-46.32813498608004,236.14868444039843,-48.24235407831421,-47.75661821205995,1.1409473231844032,-126.1229696850369,1
-41.47248109779191,-40.27705898650651,-38.919379416903496,203.2380710978665,-41.35138458449208,-41.217767012172445,1.141598456454896,-124.21586821694989,1
-77.81598520790463,20.968645722882865,-75.43833225731656,288.1016487317029,-77.92934551837519,-77.88663147098924,-0.8581651354785362,-133.41375525195653,1
-5.774620621828167,-233.85366768422008,-4.865600247732895,255.7817263775416,-5.84713490343636,-5.440702920324326,1.1415460751740631,-169.91669926028473,1
-36.70074860585144,-22.79132783425805,-33.46691164772097,165.8168665580328,-36.28577463546089,-36.57210383474137,1.141599484982768,-100.60528563150534,1
-42.19750319931795,-39.54046143314522,-41.13164473183877,207.17856292344885,-42.15938030807192,-42.149573251075054,1.1416228782328737,-125.01639365238563,1
-61.399005857746005,-30.2860320344654,-59.59257196144666,274.07408613146646,-61.43603006748773,-61.36044621032083,-0.8577817145872918,-131.1194665878194,1
-47.93795622075833,-44.7427573943258,-47.11601096534727,235.47239805026868,-47.886014681133005,-47.78965878870427,1.1416097117243464,-126.11581434434319,1
-80.20940236435277,152.138208236363,-78.89219664218098,167.17019011283958,-80.19345702145337,-80.01334232121513,-0.8582533173228212,-37.5683209936489,1
-82.78903417135263,88.16063256196026,-81.25072623656877,240.914378632876,-82.57006419715613,-82.4651865897587,-0.8582714314549043,-123.26212728048573,1
-64.44104492284683,30.854723604599645,-60.86619782797944,222.74653606577616,-64.36120983927859,-63.93280708027103,-0.8583427502532581,-124.81297636072443,1
-57.92579824305666,-40.60631346186123,-53.65657548713691,265.88974542907005,-57.29197724379481,-56.40908099322048,-0.8451033353913158,-128.77955326825236,1
-67.53366899230015,-50.63885004859846,-65.87300788915793,318.34700615872424,-67.28433946000096,-67.01713976866664,-0.8583235440173792,-178.67500488354733,1
-27.59576605326297,-23.257973185804648,-26.96155499452381,132.905575146135,-27.519750046508832,-27.57053086603472,1.1416066096093533,-50.14682792578123,1
-20.880455642558008,-18.766284271500076,-19.9171469107377,101.26941091074292,-20.842618521411488,-20.86290556453568,1.1415972400805074,50.54430905330818,1
-57.93100558532049,-86.0592579181391,-55.46440787904351,315.41577479421727,-57.9911671309485,-57.96993628076554,-0.8561040946934512,-184.4059647564026,1
-27.083624105575343,-24.262767789250976,-26.403100115884573,131.90706062111772,-27.08304997892392,-27.074518631482928,1.14160320462357,-48.097767577089535,1
-50.84409054006967,-36.033244376177706,-49.92650770642983,238.6370114760128,-50.926511675211366,-50.90665717812415,1.1407917282720124,-126.0982046340405,1
