peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,gradient,type
-58.53057959921152,-39.3675943582583,-55.40177224538956,269.1488167346605,-58.20516388791208,-57.64370664388931,1.1059046135010295,pos
-28.500572816514573,-148.8575477152081,-26.708967560869347,261.21345864538756,-28.575457690424226,-28.570912862371387,0.9719647942013979,pos
-28.18018056188217,-21.407659580300766,-27.556940746560777,133.38938730250453,-28.098913716621713,-28.145692697139115,1.0000937600658184,pos
-54.233660414771556,-43.21436969206368,-51.48571203769149,257.39812672330896,-54.306465117082276,-54.15791946169993,1.0,pos
-42.682479892559655,-53.07554343875646,-39.978730829584975,221.01465789525778,-42.6475021796579,-42.63040155469884,1.0,pos
-80.66112438005787,86.52920737444039,-79.37010737571077,234.0597155868261,-80.3829581966879,-80.17473300880974,0.8380634390651085,pos
-41.10896447003425,-136.13967224014516,-39.36785864620245,298.829358178236,-41.1552525676275,-41.057610254226525,1.0000010624283668,pos
-38.9373405258484,-156.05365288259907,-37.41254047439602,310.2302291621712,-38.999304925014954,-38.827390354312904,1.0191326275341726,pos
-54.73921390550514,-18.443295415621733,-52.8842520134021,235.42698292255986,-54.726673838001275,-54.63354775002953,1.0,pos
-84.16276343731361,103.7688706454744,-82.32194762409378,230.44461254564072,-83.90951451641766,-83.81925761329002,0.8496413377635624,pos
-56.28282443136035,-41.53580410767458,-53.54902937764448,261.321661033467,-55.48226989809035,-54.47173321869742,1.0018904463297675,pos
-18.75904994048569,-15.593767888798066,-18.336213831288358,90.14499047667367,-18.711991918809073,-18.743966897292445,1.0085812356979404,pos
-60.436193849870214,-35.7290120534707,-56.32782735440912,269.62507315558435,-59.3348570484848,-57.79718284934949,0.9999866125870619,pos
-43.33117618919302,-25.79504939354162,-36.95765347148144,191.80433061862,-42.78790677288283,-42.932544791521096,1.0001582278481012,pos
-20.98621223387868,-205.94574510479342,-19.827145809695157,288.4480316211311,-21.058205789863624,-20.630722682900515,1.010714124938101,pos
-52.07820107518262,-44.60837426466137,-51.191388633549394,251.13599773622227,-51.8149007541195,-51.44313300870937,1.0,pos
-18.273170977254523,-13.619141088607684,-17.8271901284928,86.04257518055444,-18.07318484505933,-18.249888141140126,1.0000233785365464,pos
-41.65457095847172,-38.1851325238972,-40.60338219568892,203.62419433600252,-41.601954064598424,-41.57915459334625,1.0000237970586836,pos
-61.278166278343626,-58.46063289343439,-59.77871217230294,299.8787545663204,-60.33640553300879,-60.02483768923069,0.6284551822490667,pos
-67.38024453927137,-58.100237470982,-65.6046992042006,325.3072489182684,-67.22084285319089,-67.00122485062359,1.0000484460152974,pos
-97.54640383341366,155.38641230130867,-94.21712573469058,231.28173659145477,-97.6321780454418,-97.27244127921723,1.0,pos
-27.951090711830133,-26.620781733075876,-27.217758472798,137.610305419405,-27.92348112588258,-27.897193375818393,1.0,pos
-48.37825991539562,-80.09188443521076,-46.96490370769869,272.226034589241,-48.40025787296094,-48.390728657975195,0.9080968198112277,pos
-80.35960061583636,74.07620259251004,-78.73762873662132,245.23436183637668,-80.08482793539541,-80.12850714103357,1.3315294880103694,pos
-88.22438558327488,172.45634648502266,-86.39381622711501,178.30117389592687,-88.24325290330083,-87.89606566725891,1.0699580844986831,pos
-84.66811322110748,172.300448362759,-83.20185983956243,164.674685171375,-84.66934195349079,-84.43581851997305,1.116642031127728,pos
-52.516890703479085,-122.7305182861516,-50.97556065499327,331.19116649399166,-52.579030195467304,-52.3891666539007,1.1596929370470443,pos
-66.34484942349967,-47.02292238836596,-64.69612812868529,310.10064475177626,-66.12069972968608,-65.91604508153925,1.0254364446138091,pos
-65.0080860480707,-5.775820087412768,-62.893675825611915,263.72002342998877,-65.07461440755395,-64.96782706133953,1.0000760427360176,pos
-35.364227465971425,-97.01866467376384,-34.5982927479445,237.74462538787566,-35.3970347634809,-35.366405736715144,1.039961867463671,pos
-18.205191419558446,-233.57640780521214,-16.369481087073634,304.7094243612213,-18.2806136716739,-18.27773037770316,0.9758437308242994,pos
-27.360410929614687,-191.3708088043532,-26.032987403760625,299.28394190950985,-27.438222255622655,-27.081512516158583,0.9906482361033772,pos
-104.25103307314252,209.30143869651027,-101.85320074707265,205.25614043216524,-104.43612225032419,-104.0172230581359,0.993119123233078,pos
-27.81094699246214,-25.585100036448924,-26.58103665507371,135.38310505769158,-27.634991478037197,-27.771029895669578,0.9627082256589671,pos
-78.58252447280137,113.93682636076284,-77.08576478732304,198.54821215439358,-78.47444947375863,-78.3422997812734,1.5427667766776678,pos
-83.83984904929228,197.4825483994393,-82.45342846510532,136.49419745345315,-83.9425041202673,-83.74096421822756,0.5114380676501662,pos
-76.74387392462681,63.98033988125219,-75.10848087126325,240.42897088130084,-76.45989853005725,-76.09705743660557,1.2428361498897869,pos
-4.075477748608172,-248.31592961289985,-2.029205596998165,262.71786581079186,-4.156191126403607,-4.1410617258818885,0.9965096359743041,pos
-62.63235525320155,-68.84188320488565,-60.51116962092368,317.1345782622936,-62.63085585545883,-62.518314327823916,0.8719762538837106,pos
-33.657304593592514,-31.69893814460227,-30.388500004776244,162.82840559081498,-33.58914074199452,-33.494522105849406,0.9458293317758578,pos
-17.014189635006865,292.1004759425204,-18.899740672638195,-222.36071277436082,-16.877491330393926,-16.94834153012065,1.0637884278480405,pos
-30.79694981294687,-24.08837454557381,-26.5648262113143,142.68292696062306,-30.589387054130693,-30.64338933665736,1.0,pos
