0,1,2,type
-76.73585056630363,165.20817026221647,-88.47231969591287,pos
-93.76593983614491,191.2692803298405,-97.5033404936957,pos
-85.08205321434129,148.84017211964888,-63.75811890530759,pos
-61.11371467776802,123.01486748682032,-61.90115280905235,pos
-94.17782786650363,200.32736583501435,-106.14953796851071,pos
-85.9236412072702,154.43823199250582,-68.51459078523554,pos
-76.03671489213507,165.1451769633494,-89.10846207121433,pos
-33.57312899183284,67.10206499793004,-33.52893600609717,pos
-80.96319416583097,156.79647284333242,-75.83327867750155,pos
-90.22796564265016,189.780888912919,-99.5529232702688,pos
-79.75456642994355,152.7962872541204,-73.04172082417688,pos
-86.95988037572818,173.59438124512266,-86.63450086939447,pos
-51.775725025836934,103.47119595979234,-51.69547093395537,pos
-101.6424544143759,197.74897330831584,-96.10651889393985,pos
-85.41382756350573,144.74982170327863,-59.33599413977285,pos
-98.92245346885791,195.54182179067067,-96.61936832181284,pos
-77.11893369050972,150.34284144720883,-73.22390775669918,pos
-22.94154290170027,30.609019155301027,-7.667476253600758,pos
-78.03206899136916,140.00646119883666,-61.974392207467496,pos
-56.84399202176086,174.2093051947844,-117.36531317302357,pos
-77.28158250094901,172.61330319393477,-95.33172069298578,pos
-50.78614655323962,101.39187561800036,-50.60572906476074,pos
-69.41688352181093,155.85458868204918,-86.43770516023828,pos
-94.24225651462733,194.23761096405934,-99.99535444943209,pos
-99.0771619119087,200.3215583200233,-101.24439640811443,pos
-60.38696338377689,173.91249732487952,-113.52553394110265,pos
-63.7172568941193,123.99247166183169,-60.275214767712384,pos
-75.56026752402646,162.92058339312186,-87.36031586909536,pos
-58.51745958202598,144.5387252971474,-86.02126571512149,pos
-84.65272106861259,146.0731157578763,-61.420394689263524,pos
-61.48708470874456,153.51193146792505,-92.02484675918045,pos
-85.63287173327966,177.97962179162712,-92.34675005834745,pos
-54.68093092148191,109.46031135019207,-54.77938042871017,pos
-86.99370021567606,175.31752999742392,-88.32382978174788,pos
-78.54504035004531,128.14463880305925,-49.599598453014025,pos
-120.12212914117812,198.2592985360768,-78.13716939489873,pos
-20.602625526816706,41.57658900150255,-20.973963474685842,pos
-20.32110309882815,32.68676426492693,-12.36566116609879,pos
-69.08222822142602,136.7140550239569,-67.63182680253075,pos
-85.033348259898,154.97743391022706,-69.94408565032916,pos
-81.58045589025906,178.2675152970862,-96.68705940682707,pos
-85.8398827273114,147.34387735417155,-61.503994626860035,pos
-61.49572852288206,174.45173725568938,-112.95600873280732,pos
-76.00011728048278,163.17024861047352,-87.17013132999077,pos
-45.459930748286475,162.80716930451968,-117.3472385562333,pos
-74.7114539416988,146.86136207431286,-72.149908132614,neg
-74.97603722125186,166.93733551905848,-91.96129829780668,neg
-86.61177124828585,170.92007976307627,-84.3083085147904,neg
-27.136114826392856,54.963403178407255,-27.827288352014406,neg
-71.62380758422134,141.75551137951905,-70.13170379529778,neg
-24.833567220001598,-114.25332460865282,139.0868918286544,neg
-80.688295391591,144.9657631701464,-64.2774677785554,neg
-81.35189520991162,147.22244972940948,-65.87055451949796,neg
-65.6049754526259,134.70925774254928,-69.10428228992332,neg
-66.79659261586283,176.10646497796714,-109.30987236210416,neg
-59.92996957738248,122.2573539614268,-62.32738438404428,neg
-53.14995204608247,165.25428346621538,-112.10433142013284,neg
-102.93456323077855,211.9662468488237,-109.03168361804495,neg
-87.26749751964384,139.99235631282522,-52.72485879318153,neg
-31.432272354832598,63.56444555018001,-32.13217319534741,neg
-94.5830205664968,191.07881828494953,-96.49579771845274,neg
-84.2560344348825,178.38902098801182,-94.13298655312919,neg
-94.63837179795222,191.62955285984347,-96.99118106189137,neg
-113.16187127617931,209.05789238536417,-95.8960211091849,neg
-42.546985825453525,84.02457027575039,-41.477584450296845,neg
-73.878325342121,185.4724953483228,-111.59417000620182,neg
-66.29415257869924,131.66939603979665,-65.37524346109741,neg
