,0,1,2,3,4,5
2,-0.49,2768,299,12237,272,287
4,-0.49,1690,308,12237,0,15
5,0.0,3202,308,12237,353,368
6,0.0,1236,311,12237,0,15
7,0.25,3657,315,12237,2,17
8,-0.49,943,316,12237,2,2
9,0.0,1056,319,12237,1,16
10,0.5,3052,320,12237,1,16
11,0.5,2557,321,12237,0,15
12,0.0,3007,322,12237,1,1
13,-0.49,-687,324,12237,384,384
14,0.0,1139,326,12237,2,2
15,0.0,702,328,12237,1,385
16,-0.24,3074,329,12237,384,399
17,1.5,1205,330,12237,97,481
19,-0.49,741,334,12237,0,384
20,0.25,5377,335,12237,1,384
21,-0.24,2722,336,12237,385,385
22,-0.49,1530,336,12237,384,399
23,0.25,830,338,12237,0,15
24,0.0,683,341,12237,0,0
25,-0.24,3068,343,12237,0,16
26,-0.24,1239,344,12237,1,16
27,-0.49,1580,349,12237,1,48
28,-0.49,1267,351,12237,1,16
29,0.25,1378,352,12237,1,16
30,-0.24,3389,353,12237,128,128
31,-0.49,2433,354,12237,207,481
33,-0.49,2695,358,12237,383,383
34,-0.24,3428,359,12237,368,368
35,-0.24,2985,2,12238,0,0
36,0.0,3347,4,12238,15,15
37,-0.49,-2124,11,12238,0,0
38,-0.49,1268,11,12238,15,15
39,-0.24,6044,12,12238,0,15
40,1.0,1628,13,12238,0,15
41,10.5,5559,32,12238,2,5
42,21.5,17797,75,12238,2,58
43,11.5,6835,136,12238,0,5
45,13.5,12324,123,12239,2,4
46,21.5,19265,73,12240,0,0
47,18.5,20130,73,12243,0,0
48,17.0,17899,74,12244,2,4
49,21.25,21489,78,12245,1,39
50,18.0,17654,70,12246,1,39
51,10.25,5867,33,12247,0,2
52,18.5,17788,74,12247,1,46
53,11.25,8684,135,12247,2,10
54,21.0,19238,72,12248,2,65
55,9.75,7694,117,12248,2,10
56,2.75,3216,30,12249,0,0
57,0.0,4087,39,12249,0,0
59,-0.49,733,89,12249,0,0
60,-0.49,-1670,93,12249,0,0
61,7.5,3544,122,12249,1,39
62,-0.24,1799,140,12249,0,431
63,0.0,796,140,12249,0,0
64,-0.49,1873,161,12249,0,0
65,-0.24,-1839,259,12249,0,0
66,-0.49,1133,24,12250,0,0
67,13.5,6641,36,12250,2,50
68,8.0,5781,135,12250,5,46
69,-0.49,1214,149,12250,0,0
70,1.5,1400,210,12250,0,15
71,-0.24,704,226,12250,1,1
72,0.5,-951,229,12250,0,16
73,-0.49,-1501,237,12250,1,16
74,-0.49,-742,291,12250,0,0
75,-0.49,608,15,12251,0,144
76,10.75,8110,36,12251,3,39
78,10.5,9089,122,12251,0,5
79,22.0,20956,74,12252,1,39
80,18.25,17927,73,12253,0,0
81,21.0,22007,77,12256,0,4
82,22.0,23860,76,12257,1,9
83,17.75,17373,74,12258,3,10
84,21.75,20626,73,12259,1,42
85,20.75,18349,70,12260,2,50
