,0,1,2,3,4,5
0,2.5,4599,98,26096,5,36
1,0.25,541,236,26096,0,0
2,0.25,963,239,26096,0,0
3,0.25,543,239,26096,0,0
4,0.0,536,251,26096,0,0
5,0.75,972,252,26096,0,0
6,0.5,-1115,253,26096,1,1
7,1.0,1125,259,26096,0,113
8,0.25,719,262,26096,17,17
10,1.0,1215,281,26096,0,0
11,0.25,568,285,26096,0,0
12,0.25,-947,286,26096,0,0
13,0.25,-1707,288,26096,0,0
14,3.75,4400,308,26096,51,196
15,0.0,873,315,26096,0,196
16,0.0,1498,316,26096,0,15
19,0.25,528,335,26096,0,0
20,0.25,2087,339,26096,0,0
21,0.25,3207,344,26096,0,0
22,0.0,437,345,26096,0,0
23,0.25,794,348,26096,0,0
24,0.25,1823,349,26096,0,0
25,0.0,-1689,354,26096,0,0
26,0.5,-3879,357,26096,0,64
27,0.0,694,3,26097,0,0
28,0.0,-3266,8,26097,0,0
29,0.0,-619,15,26097,0,0
30,0.0,1106,17,26097,0,0
31,0.25,-3655,21,26097,0,0
32,1.25,-1592,24,26097,0,0
33,0.0,-741,29,26097,0,0
34,0.0,-441,36,26097,0,0
35,0.25,-2727,37,26097,0,0
36,0.25,1025,40,26097,0,0
37,0.0,-826,41,26097,0,0
38,0.0,454,41,26097,0,0
39,0.0,-909,43,26097,0,0
40,0.0,1070,68,26097,0,0
41,0.25,408,72,26097,0,0
42,-0.49,-1256,75,26097,216,0
43,0.75,1827,75,26097,0,0
44,0.25,4003,79,26097,0,0
45,0.0,1286,79,26097,0,0
46,0.0,374,81,26097,0,0
47,0.0,-1202,84,26097,0,0
48,0.0,2799,94,26097,0,0
49,0.0,955,96,26097,0,0
50,-0.49,1749,97,26097,0,0
52,0.25,2310,103,26097,0,0
53,0.25,1304,107,26097,0,0
54,0.0,1215,144,26097,0,0
55,0.0,-1215,145,26097,0,0
56,-0.49,-749,146,26097,213,0
57,0.0,682,147,26097,0,0
58,0.0,3078,149,26097,0,0
59,0.75,314,149,26097,0,0
60,0.5,643,150,26097,0,0
61,0.5,567,175,26097,0,0
62,0.0,-1830,230,26097,0,0
63,0.0,605,257,26097,0,0
64,0.25,899,268,26097,0,149
65,0.25,1741,276,26097,0,0
67,0.25,658,321,26097,0,0
68,0.25,525,322,26097,0,0
69,0.0,-1487,323,26097,0,0
70,0.75,595,323,26097,0,0
71,0.75,-1327,324,26097,0,0
72,0.0,-1724,324,26097,0,0
73,0.5,489,325,26097,0,0
74,0.25,1958,325,26097,0,0
75,0.0,-785,327,26097,0,0
76,0.0,2030,331,26097,0,0
77,0.5,-3266,333,26097,0,0
78,0.5,698,349,26097,0,0
79,0.0,1709,352,26097,0,0
80,0.0,1786,356,26097,0,0
81,0.0,2637,12,26098,0,0
82,0.0,789,30,26098,0,0
83,0.75,789,37,26098,1,1
84,0.25,351,85,26098,0,0
85,0.75,918,90,26098,0,0
86,1.5,2379,95,26098,0,51
87,0.0,-1529,99,26098,0,51
88,7.25,14334,106,26098,6,198
89,0.75,1230,108,26098,1,1
90,0.0,-794,109,26098,0,1
91,0.0,1344,110,26098,0,0
92,0.25,-703,116,26098,0,0
93,0.25,899,119,26098,0,0
94,0.75,-924,120,26098,0,0
95,0.5,574,126,26098,0,0
96,0.0,-2105,136,26098,0,0
97,0.5,317,138,26098,0,0
98,0.25,2772,140,26098,0,127
99,0.25,-2312,142,26098,0,127
100,0.25,2465,142,26098,0,0
101,0.0,1352,143,26098,0,0
102,0.25,2345,145,26098,0,0
103,0.5,-2030,167,26098,0,0
104,0.5,1551,168,26098,0,0
105,0.25,599,177,26098,0,0
106,1.25,-3095,178,26098,0,0
107,0.25,-587,183,26098,0,0
108,0.75,636,185,26098,0,0
109,0.0,276,186,26098,0,0
110,0.0,-1761,190,26098,0,0
112,0.25,554,192,26098,0,0
114,2.25,-2802,276,26103,0,49
115,0.0,2328,268,26104,0,0
116,0.0,1191,269,26104,0,0
117,0.0,-2042,270,26104,0,0
118,0.0,-1091,276,26104,0,0
119,0.0,-3598,281,26104,0,0
120,1.25,-905,282,26104,0,0
121,0.25,1473,283,26104,0,0
122,0.25,472,290,26104,0,0
123,1.25,1747,290,26104,0,0
124,0.0,494,292,26104,0,0
125,0.5,2278,293,26104,0,16
126,0.25,2506,297,26104,1,1
127,0.0,-783,304,26104,0,0
128,0.25,1458,309,26104,0,0
129,1.5,4236,312,26104,0,0
130,0.0,588,313,26104,0,0
131,0.0,-1783,318,26104,0,0
132,0.25,-2519,337,26104,0,0
133,0.0,-1177,340,26104,0,0
134,0.0,698,344,26104,0,0
135,0.5,-1110,351,26104,0,0
136,0.0,-1021,6,26105,0,0
137,0.0,-4017,7,26105,0,0
138,0.25,741,15,26105,0,0
139,0.75,-1939,19,26105,0,2
140,0.0,626,23,26105,0,0
141,0.25,-2603,25,26105,0,0
142,0.25,-993,26,26105,0,0
143,0.25,-2763,26,26105,0,0
144,-0.49,-695,27,26105,178,0
145,0.0,1649,37,26105,0,0
146,0.25,-1719,42,26105,0,0
147,0.0,458,42,26105,0,0
148,0.25,2442,50,26105,0,0
149,0.0,1526,73,26105,0,0
150,0.25,803,76,26105,0,0
151,0.0,-1626,77,26105,0,0
152,0.25,313,79,26105,0,0
153,0.25,968,81,26105,0,0
154,0.5,668,89,26105,0,0
155,0.25,-507,94,26105,0,0
156,0.0,-2754,95,26105,0,0
157,0.0,-1619,96,26105,0,0
158,0.0,1190,107,26105,0,0
159,1.5,-2407,144,26105,0,0
160,0.25,1945,148,26105,0,0
161,0.0,1426,148,26105,0,0
162,0.0,2764,150,26105,0,0
163,0.75,409,151,26105,0,0
164,0.0,1992,151,26105,0,0
165,0.0,825,152,26105,0,0
166,0.75,-3611,169,26105,0,0
167,0.0,1827,177,26105,0,0
168,0.25,-524,182,26105,0,0
169,1.25,912,256,26105,0,0
170,0.0,553,277,26105,0,0
171,9.25,13154,282,26105,6,204
172,0.25,2473,291,26105,0,0
173,0.25,2975,319,26105,0,0
174,0.0,1153,321,26105,0,0
175,0.0,-3415,323,26105,0,0
176,0.25,-624,325,26105,0,0
177,0.25,-702,326,26105,0,0
178,0.25,-1191,329,26105,0,0
179,0.0,574,330,26105,0,0
181,0.0,-1479,346,26105,0,0
182,0.0,2908,351,26105,0,0
183,0.0,884,2,26106,0,0
184,0.25,-1544,7,26106,0,0
185,2.0,955,29,26106,0,0
186,-0.24,-1306,30,26106,316,0
187,0.0,473,31,26106,0,0
189,0.0,-1146,37,26106,0,0
190,0.0,1235,40,26106,0,0
191,0.0,-523,41,26106,0,0
192,0.25,450,59,26106,0,0
193,0.0,273,96,26106,0,0
194,0.25,-2679,100,26106,0,0
195,0.0,475,104,26106,0,0
196,6.5,7566,105,26106,5,197
197,0.0,1648,108,26106,0,0
198,1.75,4391,109,26106,179,182
199,0.0,1625,111,26106,0,0
200,0.0,-3017,121,26106,0,0
201,0.5,1101,123,26106,0,15
202,0.0,-3812,123,26106,0,0
203,0.0,2833,130,26106,0,0
204,0.0,1137,133,26106,0,0
205,0.0,-752,135,26106,425,0
206,0.0,646,137,26106,0,0
207,0.25,752,140,26106,0,0
208,0.0,-1858,148,26106,0,0
209,0.0,-1207,153,26106,0,0
210,0.0,-858,164,26106,0,0
211,0.0,-533,165,26106,0,0
212,0.25,2269,166,26106,2,2
213,0.5,1112,169,26106,0,0
214,0.5,615,171,26106,0,0
215,0.5,-1919,174,26106,0,0
216,0.0,541,175,26106,0,0
217,0.25,-630,191,26106,0,0
218,0.0,-1070,203,26106,0,0
219,0.75,-1455,211,26106,0,0
220,0.0,-3089,219,26106,0,0
221,0.5,3021,239,26106,0,0
222,0.5,-2137,239,26106,0,0
223,0.0,591,240,26106,1,1
224,0.75,-493,242,26106,0,0
225,0.25,1439,243,26106,0,0
226,0.0,1390,257,26106,0,0
227,0.0,1590,265,26106,0,0
228,2.0,7748,280,26106,7,192
229,0.25,648,284,26106,0,0
230,0.0,-984,285,26106,0,0
232,0.0,1018,299,26106,0,0
233,0.25,426,302,26106,0,0
234,0.0,-391,306,26106,0,0
235,0.0,1886,307,26106,0,0
236,0.0,2118,311,26106,0,0
237,0.25,-1168,313,26106,0,0
238,0.25,857,318,26106,0,0
239,5.75,-11131,282,26107,0,0
241,0.0,-897,28,26114,0,0
242,0.5,413,29,26114,0,0
243,0.0,-1041,31,26114,0,0
244,0.25,1342,33,26114,0,0
245,-0.49,-1047,34,26114,415,0
246,0.0,988,36,26114,0,0
247,0.0,-2340,40,26114,0,0
248,0.0,2377,52,26114,0,0
249,0.25,335,89,26114,0,0
250,0.0,2224,91,26114,0,0
252,0.0,-783,101,26114,0,145
253,0.0,-2279,104,26114,0,145
255,0.0,-1670,110,26114,0,197
256,0.25,954,114,26114,0,0
257,0.0,2655,115,26114,0,0
258,0.0,2372,126,26114,0,0
259,0.0,-1457,128,26114,0,0
260,0.5,981,136,26114,0,0
261,0.25,456,136,26114,0,0
262,0.75,1298,139,26114,0,0
263,0.5,2067,139,26114,15,15
264,0.25,-1615,140,26114,0,0
265,0.5,523,142,26114,0,0
266,0.0,642,145,26114,0,0
267,0.25,1249,150,26114,0,0
268,0.5,347,155,26114,0,0
269,0.0,619,166,26114,0,0
270,0.0,599,167,26114,0,0
271,0.25,-4091,171,26114,0,0
272,0.0,-1301,173,26114,0,0
273,0.25,2327,176,26114,0,0
274,0.0,812,186,26114,0,0
275,0.25,1502,188,26114,0,0
276,0.25,1433,188,26114,0,0
277,0.25,-1545,191,26114,0,0
278,0.0,-1402,192,26114,0,0
279,0.0,530,194,26114,0,0
280,0.0,753,195,26114,0,0
281,0.25,826,198,26114,0,0
282,0.0,4359,205,26114,2,17
283,0.0,-748,216,26114,0,17
284,0.0,-4491,218,26114,0,0
285,0.0,401,221,26114,0,0
286,0.5,466,225,26114,0,0
287,0.5,-982,230,26114,0,0
288,0.25,-1489,242,26114,0,0
289,0.0,2921,242,26114,0,0
290,0.0,463,243,26114,0,0
291,0.25,1021,254,26114,0,0
293,0.5,1272,259,26114,0,0
294,0.0,-404,261,26114,0,0
295,0.25,1669,265,26114,0,0
296,0.25,2427,267,26114,0,0
297,4.0,4290,276,26114,51,192
299,0.0,-1010,300,26114,0,198
300,0.5,281,321,26114,0,0
301,0.0,4718,323,26114,0,0
302,0.0,2300,7,26115,0,0
303,0.5,969,9,26115,0,0
304,0.25,-1854,27,26115,0,0
305,0.25,2592,29,26115,0,0
306,0.25,-1072,32,26115,0,0
307,0.75,-2876,96,26115,0,0
309,0.25,1113,110,26115,0,0
310,0.5,320,124,26115,0,0
311,0.0,-2400,125,26115,0,0
312,0.25,-915,132,26115,0,0
313,-0.49,-551,154,26115,431,0
314,0.25,-2145,178,26115,0,0
315,0.25,2372,185,26115,0,0
316,0.5,396,188,26115,0,0
317,0.0,-830,192,26115,0,0
318,0.0,1179,212,26115,0,0
319,0.0,-473,216,26115,0,0
320,0.0,1938,217,26115,0,0
321,0.25,2059,219,26115,0,0
322,0.25,1455,220,26115,0,0
323,1.25,-1705,221,26115,0,0
324,0.75,602,248,26115,0,0
325,0.0,1668,248,26115,0,0
326,1.25,854,250,26115,0,0
327,0.5,1613,252,26115,0,0
328,0.25,603,253,26115,0,0
330,0.0,1096,283,26115,0,55
331,3.25,2332,303,26115,0,5
332,0.5,1252,320,26115,0,0
333,0.25,1175,330,26115,0,0
334,0.25,934,331,26115,0,0
335,0.25,-653,345,26115,0,0
336,0.25,-2840,346,26115,0,0
337,0.25,778,348,26115,0,0
338,0.25,822,354,26115,0,0
339,0.25,-484,355,26115,0,0
340,1.25,795,356,26115,0,127
341,0.25,1412,357,26115,0,0
342,0.0,-681,358,26115,0,0
343,0.5,-1978,1,26116,0,0
344,0.0,688,13,26116,0,0
345,0.25,921,14,26116,0,0
346,0.25,-3947,16,26116,0,0
347,5.75,-11564,284,26116,0,0
349,0.25,504,38,26121,0,0
350,0.0,-2892,43,26121,0,0
351,0.75,2286,47,26121,0,0
352,0.25,-1017,49,26121,0,0
353,0.0,590,50,26121,0,0
354,0.0,1722,52,26121,0,0
355,0.0,2981,69,26121,0,0
356,0.0,-1916,71,26121,0,0
357,0.25,3294,73,26121,0,0
358,0.25,-417,75,26121,0,0
359,0.0,1026,77,26121,0,0
360,0.0,1726,81,26121,0,0
361,0.0,1476,84,26121,0,0
362,0.25,1098,88,26121,0,0
363,0.25,1033,91,26121,0,0
364,0.0,1188,95,26121,0,0
365,0.0,444,102,26121,0,0
366,1.25,-444,106,26121,0,0
367,0.0,2682,107,26121,0,0
368,2.0,-4783,126,26121,73,74
369,0.25,-3355,144,26121,0,0
370,0.5,358,144,26121,0,0
371,0.0,-568,146,26121,0,0
372,-0.49,-1025,147,26121,473,0
373,0.0,2474,151,26121,0,0
374,0.0,2218,153,26121,0,0
375,0.0,-1672,157,26121,0,0
376,0.0,-884,175,26121,0,0
377,0.0,1810,230,26121,0,0
378,0.0,-1094,269,26121,0,0
379,0.0,-2579,274,26121,0,0
380,0.75,2000,277,26121,0,0
381,2.0,4232,289,26121,39,128
382,0.0,1181,299,26121,0,0
383,0.25,809,323,26121,0,0
384,0.0,466,324,26121,0,0
385,0.0,775,330,26121,0,0
386,0.0,2050,331,26121,0,0
387,-0.24,-2163,332,26121,315,0
388,0.0,399,334,26121,0,0
389,0.0,3049,334,26121,0,0
390,0.0,1109,349,26121,0,0
391,0.0,-1737,357,26121,0,0
392,0.5,1507,359,26121,0,0
393,0.0,576,5,26122,0,0
394,0.25,438,30,26122,0,0
395,0.0,-1219,30,26122,0,0
