iter	Logloss
0	0.6918299203
1	0.6906558538
2	0.689368944
3	0.6880897851
4	0.6866812109
5	0.6851920475
6	0.6840039657
7	0.6829597946
8	0.6814853823
9	0.6802607126
10	0.6788418998
11	0.6776852964
12	0.6762544839
13	0.6750101365
14	0.6740153449
15	0.6729503638
16	0.671420965
17	0.6705534834
18	0.6696256342
19	0.6686561849
20	0.6673250082
21	0.6664674832
22	0.6650726841
23	0.6643594556
24	0.6631723737
25	0.6619598995
26	0.6608210887
27	0.6595457123
28	0.6584459278
29	0.6573260056
30	0.6561896509
31	0.6550687606
32	0.6538163738
33	0.6525631129
34	0.6518590211
35	0.6508456564
36	0.6495524427
37	0.6485864711
38	0.6476377109
39	0.6463378009
40	0.6453535006
41	0.6441949881
42	0.6430501742
43	0.6419718693
44	0.6409518725
45	0.6397677193
46	0.6386477691
47	0.6376547176
48	0.6365038678
49	0.635833834
50	0.6351436764
51	0.6342267919
52	0.6335853948
53	0.6324375778
54	0.6315082104
55	0.6305453317
56	0.6299007761
57	0.6291187329
58	0.6280640801
59	0.6274580534
60	0.6264816753
61	0.6257728838
62	0.6250737205
63	0.624441609
64	0.6235893054
65	0.6229400564
66	0.6220611628
67	0.621242967
68	0.6203466066
69	0.619625741
70	0.6186382959
71	0.6178170875
72	0.6167041836
73	0.6157352893
74	0.6151291264
75	0.6143241237
76	0.6133793432
77	0.6125164036
78	0.6119358101
79	0.6112809109
80	0.6104436606
81	0.6098299784
82	0.6090432472
83	0.6082706884
84	0.6076994882
85	0.6069121996
86	0.6061669821
87	0.6056530945
88	0.6051753276
89	0.6044485901
90	0.6039066639
91	0.6033074478
92	0.602721132
93	0.6019589962
94	0.6013257323
95	0.6005236672
96	0.5998533651
97	0.599191157
98	0.598546269
99	0.5979111856
100	0.5973970358
101	0.5965497792
102	0.5959844097
103	0.5955428498
104	0.5949824779
105	0.5944312348
106	0.5937236459
107	0.5932546081
108	0.5925349807
109	0.5919076035
110	0.5913265662
111	0.5906724353
112	0.5900781416
113	0.5895447858
114	0.589130941
115	0.5886670267
116	0.5882219626
117	0.5876966861
118	0.5868890843
119	0.5864867145
120	0.5855341655
121	0.5847514212
122	0.5842864725
123	0.5837609458
124	0.5829770998
125	0.582509405
126	0.5817030064
127	0.5810943498
128	0.5802736659
129	0.5797666362
130	0.5791159967
131	0.5785400242
132	0.5780226138
133	0.577423213
134	0.5768134492
135	0.5763561233
136	0.5759005626
137	0.5752903481
138	0.574714922
139	0.5742451272
140	0.5736526461
141	0.5730329969
142	0.5727679976
143	0.5722081085
144	0.5718163076
145	0.5711184327
146	0.5705855812
147	0.5700771286
148	0.5694794574
149	0.5690799502
150	0.5686175211
151	0.5682091474
152	0.5677088182
153	0.5674043098
154	0.5670130414
155	0.5664037744
156	0.5658268837
157	0.5655285399
158	0.5652017685
159	0.5648824974
160	0.5642941214
161	0.5636484006
162	0.563353969
163	0.5627680163
164	0.5622856971
165	0.5617640732
166	0.5613187334
167	0.5607394511
168	0.5602278172
169	0.5598698064
170	0.5593860432
171	0.558892578
172	0.5584256513
173	0.5581252692
174	0.557817106
175	0.5572745265
176	0.55648813
177	0.5557551968
178	0.5553247556
179	0.5550737307
180	0.5547011547
181	0.5544318669
182	0.554104388
183	0.5536580332
184	0.5532728078
185	0.5528784139
186	0.5523622896
187	0.5520232806
188	0.5518331192
189	0.5515701411
190	0.5511411357
191	0.5505628601
192	0.5498727297
193	0.5496050118
